,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,6847500.0,,-7860000.0,,,
June 2009,6847500.0,,-7860000.0,,,
September 2009,6847500.0,,-7860000.0,,,
December 2009,6847500.0,,-7860000.0,,,
March 2010,8978000.0,,-7955000.0,,,
June 2010,10347000.0,,-10041000.0,,,
September 2010,6322000.0,,-2474000.0,,,
December 2010,12044000.0,,-8528000.0,64729000.0,46333000.0,
March 2011,10563000.0,,-5052000.0,,,
June 2011,8768000.0,,-13689000.0,71888000.0,51195000.0,
September 2011,9340000.0,,-8875000.0,60829000.0,40282000.0,
December 2011,9147000.0,,-8913000.0,51805000.0,32491000.0,
March 2012,8847000.0,2440750.0,-5904000.0,68464000.0,49837000.0,
June 2012,10544000.0,2440750.0,9642000.0,84304000.0,65890000.0,
September 2012,8326000.0,2440750.0,-5479000.0,77378000.0,59580000.0,
December 2012,8948000.0,2440750.0,-9877000.0,78727000.0,61170000.0,
March 2013,7754000.0,2103000.0,-4321000.0,69942000.0,52894000.0,
June 2013,7990000.0,2182000.0,-6837000.0,62306000.0,45932000.0,
September 2013,7723000.0,1780000.0,-5747000.0,121156000.0,105200000.0,
December 2013,9846000.0,2320000.0,-10885000.0,113333000.0,97903000.0,
March 2014,8152000.0,3711000.0,-7345000.0,103416000.0,88561000.0,
June 2014,7076000.0,1566000.0,-6119000.0,96651000.0,82364000.0,
September 2014,8052000.0,2012000.0,-8010000.0,84795000.0,71208000.0,
December 2014,4072000.0,2372000.0,-8469000.0,78470000.0,65520000.0,
March 2015,6100000.0,1913000.0,-5972000.0,72048000.0,59584000.0,
June 2015,6471000.0,2092000.0,-5071000.0,65954000.0,53868000.0,
September 2015,5068000.0,2163000.0,-3820000.0,59492000.0,47876000.0,
December 2015,7250000.0,1111000.0,72900000.0,97253000.0,85881000.0,
March 2016,7334000.0,1995000.0,-8598000.0,87310000.0,76269000.0,
June 2016,10013000.0,2206000.0,-10853000.0,78864000.0,67645000.0,
September 2016,6353000.0,2014000.0,-7290000.0,70474000.0,59648000.0,
December 2016,6712000.0,3141000.0,-2624000.0,82247000.0,71867000.0,
March 2017,5967000.0,2537000.0,-59148000.0,71852000.0,61543000.0,
June 2017,9304000.0,2814000.0,450000.0,59000000.0,48891000.0,
September 2017,7118000.0,2836000.0,-11437000.0,61058000.0,51153000.0,
December 2017,9781000.0,3343000.0,-13305000.0,72214000.0,62651000.0,
March 2018,7286000.0,2498000.0,-9400000.0,64797000.0,55688000.0,
June 2018,7476000.0,2158000.0,-11294000.0,51721000.0,43052000.0,
September 2018,10071000.0,4088000.0,-5322000.0,67197000.0,57340000.0,
December 2018,8497000.0,2172000.0,-5434000.0,61131000.0,52983000.0,
March 2019,11701000.0,2230000.0,-7264000.0,61044000.0,47341000.0,
June 2019,13323000.0,2068000.0,-7743000.0,55242000.0,41598000.0,
September 2019,10000000.0,2587000.0,-3560000.0,53729000.0,40439000.0,
December 2019,9669000.0,3014000.0,291000.0,45392000.0,32479000.0,12913000.0
March 2020,10340000.0,3187000.0,1667000.0,82876000.0,57767000.0,25109000.0
June 2020,9186000.0,2194000.0,-4150000.0,71710000.0,54210000.0,17500000.0
September 2020,7688000.0,2816000.0,-4437000.0,72310000.0,60332000.0,11978000.0
December 2020,10953000.0,2951000.0,397000.0,67934000.0,55723000.0,
March 2021,7122000.0,3138000.0,-5475000.0,102792000.0,90698000.0,
June 2021,7689000.0,3171000.0,-11241000.0,108204000.0,95923000.0,
September 2021,7282000.0,2954000.0,-4199000.0,83482000.0,71224000.0,
December 2021,7641000.0,3466000.0,-6667000.0,73665000.0,61666000.0,
March 2022,8767000.0,3154000.0,-2286000.0,68391000.0,56542000.0,
June 2022,7579000.0,2611000.0,-5334000.0,60640000.0,49700000.0,
