,NetIncomeLoss,Assets
March 2013,1709750.0,
June 2013,1709750.0,
September 2013,1709750.0,
December 2013,1709750.0,
March 2014,2342000.0,
June 2014,2342000.0,
September 2014,2021000.0,
December 2014,2300000.0,1280008000.0
March 2015,3471000.0,
June 2015,3883000.0,
September 2015,4220000.0,2012350000.0
December 2015,4212000.0,2084579000.0
March 2016,6355000.0,2210707000.0
June 2016,5254000.0,2367581000.0
September 2016,5471000.0,2461902000.0
December 2016,5771000.0,2450948000.0
March 2017,6047000.0,2592330000.0
June 2017,5395000.0,2724716000.0
September 2017,2986000.0,2813434000.0
December 2017,3204000.0,2860231000.0
March 2018,7711000.0,2886484000.0
June 2018,7556000.0,2966426000.0
September 2018,8879000.0,3035539000.0
December 2018,13163000.0,4655249000.0
March 2019,12678000.0,4768802000.0
June 2019,14248000.0,4794211000.0
September 2019,12047000.0,4905840000.0
December 2019,13986000.0,4992654000.0
March 2020,3516000.0,5002429000.0
June 2020,9907000.0,5836881000.0
September 2020,16170000.0,5967751000.0
December 2020,15941000.0,6050128000.0
March 2021,18010000.0,6430990000.0
June 2021,22925000.0,6508667000.0
September 2021,19060000.0,6759761000.0
December 2021,21558000.0,7104954000.0
March 2022,18657000.0,7149363000.0
June 2022,16437000.0,6731764000.0
