,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2011,21386750.0,3181500.0,,,
June 2011,21386750.0,3181500.0,,,
September 2011,21386750.0,3181500.0,,,
December 2011,21386750.0,3181500.0,,,
March 2012,22304440.0,3693758.0,,,
June 2012,24121995.0,4724445.0,,,
September 2012,25275000.0,4509000.0,,,
December 2012,26509565.0,5341797.0,,872644745.0,14776490.0
March 2013,26967466.0,4894798.0,,887564591.0,17553399.0
June 2013,27982000.0,5548408.0,,901318432.0,18193300.0
September 2013,33560000.0,8313000.0,,1136975000.0,23163000.0
December 2013,40578534.0,8830794.0,,1185884000.0,32776000.0
March 2014,42635000.0,8469000.0,,1265902000.0,37759000.0
June 2014,42707000.0,10186000.0,,1355791000.0,43379000.0
September 2014,49360000.0,10443000.0,,1430312000.0,36722000.0
December 2014,49240000.0,9620000.0,,1516482000.0,38034000.0
March 2015,49476000.0,9729000.0,-38568250.0,1612597000.0,45275000.0
June 2015,77742000.0,10350000.0,-38568250.0,1628890000.0,48936000.0
September 2015,54993000.0,10351000.0,-38568250.0,1672184000.0,56610000.0
December 2015,223939000.0,10520000.0,-38568250.0,1509771000.0,52967000.0
March 2016,52540000.0,9739000.0,8538000.0,1495854000.0,52936000.0
June 2016,55011000.0,11180000.0,3274000.0,1488582000.0,51625000.0
September 2016,57943000.0,12577000.0,-2146000.0,1477083000.0,55168000.0
December 2016,125397000.0,10987000.0,3269000.0,1472412000.0,72969000.0
March 2017,58664000.0,11123000.0,1552000.0,1477806000.0,77211000.0
June 2017,59337000.0,10632000.0,553000.0,1463885000.0,73675000.0
September 2017,81489000.0,11888000.0,-12355000.0,1471945000.0,79433000.0
December 2017,339849000.0,13840000.0,4546000.0,1492087000.0,76889000.0
March 2018,83826000.0,7961000.0,-15370000.0,2228201000.0,786278000.0
June 2018,138309000.0,27177000.0,3197000.0,3784718000.0,216291000.0
September 2018,145007000.0,17753000.0,-563000.0,3814052000.0,229543000.0
December 2018,151899000.0,16104000.0,10185000.0,3774649000.0,217740000.0
March 2019,135218000.0,15995000.0,6587000.0,3757847000.0,226244000.0
June 2019,131587666.66666667,16210000.0,9949000.0,3759671000.0,240586000.0
September 2019,131587666.66666667,16631000.0,13315000.0,3751230000.0,232698000.0
December 2019,131587666.66666667,15561000.0,9281000.0,3730407000.0,230923000.0
March 2020,,12385000.0,-602461000.0,3103087000.0,223700000.0
June 2020,,20315000.0,2684000.0,3057689000.0,216983000.0
September 2020,,12716000.0,6519000.0,3011332000.0,214087000.0
December 2020,,14565000.0,-1474000.0,2948700000.0,199555000.0
March 2021,,13800000.0,371000.0,2895951000.0,204268000.0
June 2021,,15288000.0,2688000.0,2839310000.0,198741000.0
September 2021,,13524000.0,4115000.0,2796551000.0,198939000.0
December 2021,,13470000.0,3105000.0,2767979000.0,204987000.0
March 2022,,15265000.0,3254000.0,2736952000.0,211666000.0
June 2022,,13914000.0,9086000.0,2719892000.0,217683000.0
