,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2015,81250000.0,181750000.0,
June 2015,81250000.0,181750000.0,
September 2015,81250000.0,181750000.0,
December 2015,81250000.0,181750000.0,35586000000.0
March 2016,96000000.0,128000000.0,
June 2016,100000000.0,162000000.0,
September 2016,91000000.0,141000000.0,
December 2016,101000000.0,198000000.0,35279000000.0
March 2017,102000000.0,137000000.0,
June 2017,107000000.0,112000000.0,34614000000.0
September 2017,94000000.0,127000000.0,35002000000.0
December 2017,75000000.0,374000000.0,39516000000.0
March 2018,98000000.0,149000000.0,37287000000.0
June 2018,104000000.0,117000000.0,37771000000.0
September 2018,89000000.0,144000000.0,36694000000.0
December 2018,84000000.0,187000000.0,39497000000.0
March 2019,97000000.0,43000000.0,35217000000.0
June 2019,97000000.0,113000000.0,29495000000.0
September 2019,87000000.0,109000000.0,26216000000.0
December 2019,91000000.0,165000000.0,28412000000.0
March 2020,74000000.0,141000000.0,25700000000.0
June 2020,77000000.0,89000000.0,25389000000.0
September 2020,80000000.0,85000000.0,23626000000.0
December 2020,83000000.0,98000000.0,23953000000.0
