,OperatingExpenses,NetIncomeLoss,Assets
March 2015,530000000.0,,
June 2015,530000000.0,,
September 2015,530000000.0,,
December 2015,530000000.0,,
March 2016,552000000.0,,
June 2016,493000000.0,,
September 2016,519000000.0,,
December 2016,720000000.0,,221930000000.0
March 2017,564000000.0,-94500000.0,
June 2017,614000000.0,-94500000.0,224328000000.0
September 2017,611000000.0,-94500000.0,223279000000.0
December 2017,694000000.0,-94500000.0,224192000000.0
March 2018,618000000.0,-67000000.0,218997000000.0
June 2018,691000000.0,-239000000.0,216212000000.0
September 2018,665000000.0,-271000000.0,216946000000.0
December 2018,601000000.0,1442000000.0,206294000000.0
March 2019,592000000.0,-737000000.0,216430000000.0
June 2019,621000000.0,384000000.0,221212000000.0
September 2019,611000000.0,683000000.0,225876000000.0
December 2019,667000000.0,-1070000000.0,227259000000.0
March 2020,517000000.0,4957000000.0,223953000000.0
June 2020,577000000.0,-1991000000.0,235367000000.0
September 2020,580000000.0,-2995000000.0,239681000000.0
December 2020,679000000.0,-1032000000.0,247869000000.0
March 2021,562000000.0,-585000000.0,241937000000.0
June 2021,608000000.0,31000000.0,253856000000.0
September 2021,579000000.0,383000000.0,254691000000.0
December 2021,702000000.0,63000000.0,259840000000.0
March 2022,510000000.0,640000000.0,245052000000.0
June 2022,591000000.0,983000000.0,228211000000.0
