,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent,AssetsNoncurrent
December 2008,,,,
March 2009,,,,
June 2009,,,,
September 2009,,,,
December 2009,2626646.5,,,
March 2010,2626646.5,,,
June 2010,2505551.0,,,
September 2010,,65777319.0,35833350.0,14805180.0
December 2010,2274890.0,,,
March 2011,2039032.0,,,
June 2011,2520145.0,65894144.0,37915073.0,14413345.0
September 2011,3518519.0,67309845.0,40292164.0,13871988.0
December 2011,2814751.0,66125389.0,40067458.0,13614819.0
March 2012,3081145.0,66966174.0,41419700.0,13755538.0
June 2012,2928864.0,67414632.0,42699430.0,13511592.0
September 2012,3069443.0,66315222.0,41939089.0,13461081.0
December 2012,2971731.0,65337826.0,41565715.0,13410572.0
March 2013,3977367.0,65394405.0,41778338.0,13360060.0
