,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
December 2009,107079.5,,,-194507.25,,,
March 2010,107079.5,,,-194507.25,,,
June 2010,306396.0,,,-194507.25,,,
September 2010,633663.0,,,-194507.25,78244.0,27271.0,50973.0
December 2010,350240.0,,,-126503.5,,,
March 2011,526219.0,,,-126503.5,,,
June 2011,492437.0,,,-126503.5,737812.0,362578.0,375234.0
September 2011,709774.0,,,-126503.5,784191.0,608953.0,175238.0
December 2011,564616.0,,,151202.5,845729.0,669762.0,175967.0
March 2012,580765.0,,,151202.5,1034618.0,828860.0,
June 2012,663914.0,,,151202.5,,,
September 2012,1025476.0,,,151202.5,1708017.0,1366626.0,
December 2012,814405.0,,,236988.75,1712794.0,1361944.0,
March 2013,967511.0,,,236988.75,1868355.0,1513577.0,
June 2013,1020530.0,,,236988.75,2456689.0,2061516.0,
September 2013,972516.0,,,236988.75,2923906.0,2411282.0,
December 2013,1399725.0,,,296815.0,3531047.0,2933331.0,
March 2014,1487491.0,,,347686.0,4362597.0,3760409.0,
June 2014,1603338.0,,,318073.0,4549624.0,3965617.0,
September 2014,1355504.0,,,-97135.0,4370963.0,3873898.0,
December 2014,1256955.0,,,-21878.0,4260270.0,3587295.0,
March 2015,1391933.0,,,145242.0,4288586.0,3647171.0,
June 2015,1451567.0,,,36689.0,4355354.0,3786373.0,
September 2015,1978771.0,,,-616993.0,4091591.0,3527454.0,
December 2015,1759159.0,,,-530293.0,3331556.0,2765145.0,
March 2016,1760887.0,,,-728756.0,3024977.0,2445966.0,
June 2016,997638.0,,,-100593.0,2684220.0,2116659.0,
September 2016,989639.0,,,-458435.0,2046148.0,1241305.0,
December 2016,778095.0,,,-20538.0,1915993.0,1110539.0,
March 2017,814141.0,,,-158796.0,1922435.0,1068007.0,
June 2017,953340.0,,,-831524.0,1177161.0,829228.0,
September 2017,602909.0,,,-20144.0,1122781.0,765184.0,
December 2017,702670.0,,,-105654.0,1106452.0,740836.0,
March 2018,569062.0,,,38736.0,1017695.0,625962.0,
June 2018,483113.0,,,114172.0,1042685.0,620298.0,
September 2018,870299.0,,,-266087.0,745291.0,382891.0,
December 2018,679723.0,,,698540.0,2858627.0,811523.0,
March 2019,705299.0,,,310145.0,2592384.0,811175.0,
June 2019,506002.0,,,635333.0,2700132.0,952054.0,
September 2019,672825.0,,,373322.0,2161977.0,1065126.0,
December 2019,508868.0,,,299148.0,2155755.0,1224568.0,
March 2020,589849.0,,,255938.0,2160910.0,1304016.0,
June 2020,624391.0,,,-3266.0,2056459.0,1291410.0,
September 2020,729877.0,,,68341.0,1594004.0,948797.0,
December 2020,535487.0,32134.0,1724.0,223467.0,1441224.0,900619.0,
March 2021,528870.0,15538.0,,-105158.0,1291943.0,841793.0,
June 2021,586677.0,18868.0,,-123335.0,1151883.0,784720.0,
September 2021,218994.0,,,329928.0,1103030.0,651128.0,
December 2021,386059.0,15679.0,28544.0,-12372.0,1013442.0,520986.0,
March 2022,346688.0,13706.0,,-841086.0,2259489.0,702383.0,
June 2022,330544.0,16442.0,,-642359.0,2074627.0,395760.0,
