,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2007,190000000.0,630250000.0,426750000.0,,,
June 2007,190000000.0,630250000.0,426750000.0,,,
September 2007,190000000.0,630250000.0,426750000.0,,,
December 2007,190000000.0,630250000.0,426750000.0,,,
March 2008,190000000.0,640000000.0,429000000.0,,,
June 2008,222000000.0,703000000.0,544000000.0,,,
September 2008,230000000.0,681000000.0,472000000.0,,,
December 2008,226000000.0,674000000.0,569000000.0,15405000000.0,7148000000.0,
March 2009,212000000.0,611000000.0,516000000.0,,,
June 2009,231000000.0,660000000.0,587000000.0,15743000000.0,7072000000.0,
September 2009,228000000.0,672000000.0,530000000.0,16954000000.0,8064000000.0,
December 2009,246000000.0,788000000.0,572000000.0,17354000000.0,8271000000.0,
March 2010,227000000.0,683000000.0,-63000000.0,17166000000.0,8015000000.0,
June 2010,219000000.0,721000000.0,535000000.0,16487000000.0,7375000000.0,
September 2010,207000000.0,670000000.0,525000000.0,17563000000.0,8140000000.0,
December 2010,262000000.0,833000000.0,423000000.0,17489000000.0,7989000000.0,4240000000.0
March 2011,214000000.0,716000000.0,570000000.0,17413000000.0,7761000000.0,
June 2011,239000000.0,765000000.0,615000000.0,17741000000.0,7809000000.0,4451000000.0
September 2011,239000000.0,787000000.0,576000000.0,17843000000.0,8002000000.0,4415000000.0
December 2011,254000000.0,886000000.0,463000000.0,19073000000.0,8650000000.0,
March 2012,269000000.0,752000000.0,588000000.0,18784000000.0,8117000000.0,
June 2012,306000000.0,789000000.0,661000000.0,18446000000.0,8048000000.0,
September 2012,290000000.0,743000000.0,583000000.0,19825000000.0,9105000000.0,
December 2012,291000000.0,1040000000.0,494000000.0,20390000000.0,9260000000.0,
March 2013,246000000.0,795000000.0,552000000.0,20318000000.0,8814000000.0,
June 2013,273000000.0,838000000.0,590000000.0,23751000000.0,12185000000.0,
September 2013,277000000.0,975000000.0,544000000.0,25250000000.0,9597000000.0,
December 2013,-214000000.0,476000000.0,326000000.0,25224000000.0,10004000000.0,
March 2014,313000000.0,920000000.0,556000000.0,25261000000.0,9388000000.0,
June 2014,325000000.0,998000000.0,520000000.0,25629000000.0,9487000000.0,
September 2014,149000000.0,827000000.0,468000000.0,25563000000.0,9631000000.0,
December 2014,634000000.0,1284000000.0,953000000.0,26138000000.0,10351000000.0,
March 2015,300000000.0,1015000000.0,430000000.0,24861000000.0,9734000000.0,
June 2015,388000000.0,1097000000.0,332000000.0,30015000000.0,14497000000.0,
September 2015,148000000.0,794000000.0,1000000.0,20172000000.0,11138000000.0,
December 2015,-233000000.0,188000000.0,205000000.0,20962000000.0,11796000000.0,
March 2016,136000000.0,641000000.0,3380000000.0,17350000000.0,8017000000.0,
June 2016,195000000.0,709000000.0,1212000000.0,15982000000.0,6823000000.0,
September 2016,159000000.0,726000000.0,130000000.0,15795000000.0,6589000000.0,
December 2016,157000000.0,663000000.0,243000000.0,15546000000.0,6574000000.0,
March 2017,127000000.0,564000000.0,272000000.0,15659000000.0,6633000000.0,
June 2017,156000000.0,635000000.0,265000000.0,16963000000.0,7704000000.0,
September 2017,150000000.0,680000000.0,251000000.0,17541000000.0,7448000000.0,
December 2017,182000000.0,748000000.0,-71000000.0,17111000000.0,7263000000.0,
March 2018,140000000.0,622000000.0,389000000.0,16890000000.0,6956000000.0,
June 2018,174000000.0,681000000.0,341000000.0,16578000000.0,6890000000.0,
September 2018,166000000.0,684000000.0,544000000.0,16847000000.0,7028000000.0,
December 2018,175000000.0,627000000.0,348000000.0,15720000000.0,5959000000.0,
March 2019,129000000.0,600000000.0,342000000.0,16350000000.0,6087000000.0,
June 2019,166000000.0,641000000.0,313000000.0,17544000000.0,7218000000.0,
September 2019,144000000.0,627000000.0,369000000.0,17299000000.0,7210000000.0,
December 2019,156000000.0,667000000.0,-23000000.0,18193000000.0,7503000000.0,
March 2020,146000000.0,628000000.0,332000000.0,19075000000.0,8333000000.0,
June 2020,117000000.0,590000000.0,246000000.0,19465000000.0,8566000000.0,
September 2020,123000000.0,601000000.0,356000000.0,20098000000.0,9033000000.0,
December 2020,135000000.0,650000000.0,168000000.0,20019000000.0,8411000000.0,
March 2021,128000000.0,627000000.0,298000000.0,19466000000.0,7856000000.0,
June 2021,139000000.0,675000000.0,298000000.0,19682000000.0,8004000000.0,
September 2021,129000000.0,680000000.0,450000000.0,19807000000.0,8167000000.0,
December 2021,138000000.0,885000000.0,238000000.0,33521000000.0,8872000000.0,
March 2022,150000000.0,1052000000.0,71000000.0,32716000000.0,8173000000.0,
June 2022,148000000.0,976000000.0,252000000.0,31831000000.0,7882000000.0,
