,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2009,,20807250.0,,
June 2009,,20807250.0,,
September 2009,,20807250.0,,
December 2009,,20807250.0,,
March 2010,775000.0,19173000.0,,
June 2010,775000.0,19707000.0,,
September 2010,775000.0,19632000.0,,
December 2010,775000.0,16731000.0,677609000.0,243898000.0
March 2011,825000.0,19246000.0,,
June 2011,825000.0,16104000.0,692359000.0,250477000.0
September 2011,825000.0,17136000.0,706186000.0,240918000.0
December 2011,825000.0,15792000.0,678830000.0,226334000.0
March 2012,775000.0,23184000.0,660548000.0,186345000.0
June 2012,775000.0,14776000.0,697236000.0,196002000.0
September 2012,775000.0,30185000.0,696429000.0,170493000.0
December 2012,775000.0,-5542000.0,700715000.0,166856000.0
March 2013,350000.0,15085000.0,697899000.0,181467000.0
June 2013,350000.0,10623000.0,526080000.0,128817000.0
September 2013,350000.0,13557000.0,513283000.0,113603000.0
December 2013,350000.0,12921000.0,481563000.0,107782000.0
March 2014,175000.0,12867000.0,468254000.0,94645000.0
June 2014,175000.0,15058000.0,458750000.0,86658000.0
September 2014,175000.0,13041000.0,463219000.0,78561000.0
December 2014,175000.0,13115000.0,463862000.0,73539000.0
March 2015,,9358000.0,461309000.0,77167000.0
June 2015,,9745000.0,451862000.0,75583000.0
September 2015,,13540000.0,448558000.0,76177000.0
