,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2009,8375000.0,92610000.0,,
June 2009,8375000.0,93038000.0,,
September 2009,8375000.0,91957000.0,,
December 2009,8375000.0,89417000.0,2453407000.0,943983000.0
March 2010,8925000.0,88479000.0,,
June 2010,8925000.0,103931000.0,2544330000.0,940834000.0
September 2010,8925000.0,98772000.0,2617974000.0,1004629000.0
December 2010,8925000.0,105087000.0,2632393000.0,957095000.0
March 2011,9350000.0,104101000.0,2706953000.0,1021075000.0
June 2011,9350000.0,99166000.0,2767952000.0,1097508000.0
September 2011,9350000.0,110389000.0,2759116000.0,1100713000.0
December 2011,9350000.0,115070000.0,2823721000.0,1143933000.0
