,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,,-82195750.0,,,
June 2009,,-82195750.0,,,
September 2009,,-82195750.0,,,
December 2009,,-82195750.0,,,
March 2010,,-12797000.0,,,
June 2010,,-149750000.0,,,
September 2010,,13942000.0,,,
December 2010,,-33727000.0,1024112000.0,239768000.0,
March 2011,,-27841000.0,,,
June 2011,,-963000.0,975845000.0,184203000.0,
September 2011,,-429430000.0,554271000.0,185268000.0,
December 2011,,-11877000.0,387897000.0,23348000.0,
March 2012,,-13463000.0,374527000.0,15161000.0,
June 2012,,,,,
September 2012,,-4419500.0,,,
December 2012,,-4419500.0,189582000.0,59926000.0,123810000.0
March 2013,62285000.0,-4816000.0,189142000.0,65212000.0,
June 2013,34126000.0,-9213000.0,230408000.0,105289000.0,
September 2013,43801000.0,-14620000.0,828114000.0,567632000.0,145458000.0
December 2013,,-41972000.0,813213000.0,544501000.0,
March 2014,758048000.0,-14568000.0,810235000.0,543434000.0,
June 2014,826517000.0,-24677000.0,861291000.0,583310000.0,
September 2014,890884000.0,-39456000.0,917816000.0,637082000.0,
December 2014,,31660000.0,741007000.0,460789000.0,
March 2015,,462000.0,687589000.0,390517000.0,
June 2015,,11723000.0,864244000.0,436883000.0,
September 2015,,14740000.0,849299000.0,431553000.0,
December 2015,,-66836000.0,892261000.0,531752000.0,
March 2016,,-18673000.0,765784000.0,354459000.0,
June 2016,,-13088000.0,937221000.0,525865000.0,
September 2016,,-27761000.0,1144510000.0,389600000.0,
December 2016,,13687000.0,1145433000.0,403108000.0,
March 2017,,27786000.0,1203702000.0,461386000.0,
June 2017,,7006000.0,1194715000.0,456716000.0,
September 2017,,18824000.0,1235182000.0,497512000.0,
December 2017,,19005000.0,1347407000.0,603544000.0,
March 2018,,15185000.0,1408125000.0,588227000.0,
June 2018,,16178000.0,1451314000.0,637629000.0,
September 2018,,-5822000.0,1406483000.0,590323000.0,
December 2018,,13886000.0,1460734000.0,586592000.0,
March 2019,,61092000.0,2648104000.0,908631000.0,
June 2019,,28169000.0,2672410000.0,951033000.0,
September 2019,,-83891000.0,2652885000.0,1027786000.0,
December 2019,,35439000.0,2700560000.0,1032174000.0,
March 2020,,-222337000.0,2140921000.0,612515000.0,
June 2020,,-40560000.0,2224798000.0,719765000.0,
September 2020,,-14271000.0,2272414000.0,749126000.0,
December 2020,,-131918000.0,2133861000.0,636469000.0,
March 2021,,-62227000.0,2502470000.0,976738000.0,
June 2021,,-108958000.0,2524380000.0,1030679000.0,
September 2021,,81802000.0,2520995000.0,1051572000.0,
December 2021,,8086000.0,2570251000.0,1130171000.0,
March 2022,,-137051000.0,2920437000.0,1463759000.0,
June 2022,,149125000.0,3245340000.0,1851355000.0,
