,OperatingExpenses,Assets
September 2007,4550.090909090909,
December 2007,4550.090909090909,
March 2008,4550.090909090909,
June 2008,4550.090909090909,
September 2008,4550.090909090909,
December 2008,4550.090909090909,
March 2009,4550.090909090909,
June 2009,4550.090909090909,
September 2009,4550.090909090909,
December 2009,4550.090909090909,
March 2010,4881.0,
June 2010,4881.0,
September 2010,5236.0,
December 2010,4550.090909090909,4038.0
March 2011,21846.0,
June 2011,21846.0,
September 2011,-6005.0,758.0
