,OperatingExpenses,Assets,AssetsCurrent
March 2012,16836000.0,,
June 2012,16836000.0,,
September 2012,16836000.0,,
December 2012,16836000.0,,
March 2013,21451000.0,,
June 2013,23097000.0,,
September 2013,24236000.0,,
December 2013,33208000.0,183292000.0,33071000.0
March 2014,39122000.0,,
June 2014,49310000.0,277601000.0,79271000.0
September 2014,58678000.0,273493000.0,61997000.0
December 2014,69316000.0,282818000.0,65643000.0
March 2015,75405000.0,302287000.0,91558000.0
June 2015,79558000.0,395297000.0,123306000.0
September 2015,86697000.0,539090000.0,133424000.0
December 2015,96786000.0,521603000.0,118690000.0
March 2016,102463000.0,526341000.0,125366000.0
June 2016,90650000.0,773356000.0,138297000.0
September 2016,91385000.0,798679000.0,169092000.0
