,OperatingExpenses,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
September 2009,17801500.0,7068250.0,,
December 2009,17801500.0,7068250.0,,
March 2010,17801500.0,7068250.0,,
June 2010,17801500.0,7068250.0,,
September 2010,17693000.0,7519000.0,,
December 2010,20472000.0,8212000.0,,
March 2011,21923000.0,8973000.0,,
June 2011,37169000.0,10069000.0,,
September 2011,24758000.0,10959000.0,,
December 2011,28999000.0,12162000.0,,
March 2012,28180000.0,12986000.0,,
June 2012,31185000.0,12949000.0,,
September 2012,35806000.0,14764000.0,,
December 2012,35719000.0,15885000.0,,
March 2013,36620000.0,16854000.0,,
June 2013,43916000.0,18843000.0,,
September 2013,41299000.0,18750000.0,,
December 2013,42827000.0,17525000.0,,
March 2014,48091000.0,20634000.0,,
June 2014,50660000.0,19269000.0,,
September 2014,47601000.0,20310000.0,,
December 2014,52031000.0,22282000.0,,
March 2015,54236000.0,24575000.0,,
June 2015,62992000.0,26273000.0,,
September 2015,56073000.0,25672000.0,,
December 2015,59526000.0,25409000.0,,
March 2016,65630000.0,29273000.0,,
June 2016,74946000.0,32142000.0,,
September 2016,70410000.0,30750000.0,,
December 2016,66605000.0,30025000.0,,
March 2017,76307000.0,34090000.0,,
June 2017,82791000.0,35458000.0,,
September 2017,77992000.0,35711000.0,,
December 2017,96684000.0,43657000.0,,
March 2018,95335000.0,46787000.0,,
June 2018,101679000.0,45502000.0,,
September 2018,96160000.0,45496000.0,,
December 2018,95185000.0,46471000.0,,
March 2019,98356000.0,47102000.0,,
June 2019,103992000.0,49472000.0,,
September 2019,100751000.0,46496000.0,,
December 2019,107892000.0,49954000.0,,
March 2020,108013000.0,51893000.0,,
June 2020,111522000.0,52232000.0,,
September 2020,110439000.0,52615000.0,,
December 2020,115230000.0,53194000.0,,
March 2021,118729000.0,54155000.0,,
June 2021,129399000.0,59530000.0,,
September 2021,128132000.0,59926000.0,,
December 2021,136106000.0,60403000.0,,
March 2022,139364000.0,64049000.0,,
June 2022,148065000.0,65287000.0,,
