,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
March 2011,57442000.0,1791250.0,,
June 2011,57442000.0,1791250.0,,
September 2011,57442000.0,1791250.0,,
December 2011,57442000.0,1791250.0,,
March 2012,66587250.0,1274000.0,,
June 2012,66587250.0,1749000.0,,
September 2012,66587250.0,2548000.0,,
December 2012,66587250.0,18475000.0,126699000.0,32464000.0
March 2013,68592000.0,18000.0,,
June 2013,73425000.0,2759000.0,,
September 2013,74845000.0,2165000.0,,
December 2013,81375000.0,-3684000.0,186080000.0,81798000.0
March 2014,74322000.0,-301000.0,188785000.0,84144000.0
June 2014,80166000.0,2010000.0,192746000.0,85698000.0
September 2014,81421000.0,1947000.0,193850000.0,85289000.0
December 2014,83799000.0,702000.0,191947000.0,80218000.0
March 2015,84820000.0,531000.0,195834000.0,79859000.0
June 2015,91865000.0,2461000.0,190009000.0,71029000.0
September 2015,93660000.0,1401000.0,183936000.0,61361000.0
December 2015,93075000.0,1235000.0,174507000.0,49781000.0
March 2016,94066000.0,1088000.0,173218000.0,49533000.0
June 2016,99524000.0,3373000.0,166294000.0,42705000.0
September 2016,100940000.0,1795000.0,172466000.0,47821000.0
December 2016,99588000.0,1956000.0,175445000.0,38551000.0
March 2017,100436000.0,683000.0,178966000.0,42824000.0
June 2017,107972000.0,-138000.0,173465000.0,39277000.0
September 2017,106701000.0,-240000.0,176230000.0,42040000.0
December 2017,114925000.0,-7261000.0,170730000.0,45203000.0
March 2018,105547000.0,-2194000.0,170593000.0,48523000.0
June 2018,110252000.0,-360000.0,176274000.0,56473000.0
September 2018,109693000.0,-1961000.0,166042000.0,46503000.0
December 2018,107748000.0,-4363000.0,153215000.0,39420000.0
March 2019,102810000.0,-18439000.0,351530000.0,32592000.0
June 2019,107098000.0,-1866000.0,344842000.0,34150000.0
September 2019,106381000.0,-2355000.0,333563000.0,32093000.0
December 2019,102614000.0,-1332000.0,332879000.0,32223000.0
March 2020,104575000.0,-13336000.0,351069000.0,60166000.0
June 2020,78049000.0,-22216000.0,327272000.0,43720000.0
September 2020,88801000.0,-13412000.0,306804000.0,36078000.0
December 2020,90988000.0,-16427000.0,283357000.0,23308000.0
March 2021,92196000.0,-14472000.0,270018000.0,23342000.0
June 2021,100994000.0,-3881000.0,265134000.0,25632000.0
September 2021,104297000.0,-2948000.0,256760000.0,23106000.0
December 2021,105053000.0,-2483000.0,253237000.0,28054000.0
March 2022,105604000.0,-7913000.0,242348000.0,24177000.0
June 2022,114911000.0,574000.0,245768000.0,29564000.0
