,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,1636208.0,,,
June 2010,1636208.0,,,
September 2010,-116179.0,,,
December 2010,-336237.0,26986000.0,2281000.0,
March 2011,-8341000.0,,,
June 2011,-1783469.0,,,
September 2011,-3227531.0,61308911.0,5736289.0,
December 2011,-2643000.0,58182000.0,4641000.0,
March 2012,-5836000.0,52083000.0,4362000.0,
June 2012,-9295000.0,,,
September 2012,-252000.0,42765000.0,7300000.0,
December 2012,-370000.0,40378000.0,4733000.0,
March 2013,46000.0,41650000.0,5199000.0,
June 2013,1430000.0,44020000.0,5922000.0,
September 2013,1314000.0,46132000.0,4195000.0,
December 2013,1496000.0,46761000.0,3516000.0,
March 2014,1283000.0,47885000.0,6304000.0,
June 2014,1806000.0,49709000.0,5733000.0,
September 2014,2013000.0,50787000.0,4097000.0,
December 2014,1839000.0,41631000.0,5920000.0,
March 2015,-630000.0,40435000.0,4569000.0,
June 2015,-1181000.0,39176000.0,3311000.0,
September 2015,-958000.0,38820000.0,3182000.0,
December 2015,-5529000.0,32708000.0,2786000.0,
March 2016,-4927000.0,28147000.0,2650000.0,
June 2016,-2518000.0,26350000.0,2007000.0,
September 2016,-1599000.0,26231000.0,2162000.0,
December 2016,-3362000.0,42712000.0,5783000.0,
March 2017,3292000.0,47426000.0,4354000.0,
June 2017,2004000.0,50224000.0,5587000.0,
September 2017,-462000.0,55501000.0,5651000.0,
December 2017,1484000.0,60009000.0,8080000.0,51929000.0
March 2018,3569000.0,125235000.0,15516000.0,
June 2018,-579000.0,162386000.0,14053000.0,
September 2018,-725000.0,167592000.0,17235000.0,
December 2018,6139000.0,310891000.0,34010000.0,276881000.0
March 2019,-4100000.0,306064000.0,29032000.0,277032000.0
June 2019,6229000.0,304547000.0,27536000.0,277011000.0
September 2019,3182000.0,304504000.0,28288000.0,276216000.0
December 2019,-4214000.0,298254000.0,26269000.0,271985000.0
March 2020,9799000.0,308386000.0,36027000.0,272359000.0
June 2020,-47936000.0,140270000.0,16207000.0,124063000.0
