,OperatingExpenses,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent,AssetsNoncurrent
March 2018,321875000.0,152500000.0,,,
June 2018,321875000.0,152500000.0,,,
September 2018,321875000.0,152500000.0,,,
December 2018,321875000.0,152500000.0,,,
March 2019,377000000.0,213600000.0,,,
June 2019,408000000.0,126000000.0,,,
September 2019,409200000.0,152700000.0,,,
December 2019,439700000.0,158900000.0,9112800000.0,417900000.0,8694900000.0
March 2020,402900000.0,125100000.0,,,
June 2020,422000000.0,143400000.0,8985100000.0,489000000.0,8496100000.0
September 2020,398900000.0,131700000.0,9185400000.0,723400000.0,8462000000.0
December 2020,451300000.0,157600000.0,9220300000.0,874400000.0,8345900000.0
March 2021,496200000.0,179800000.0,9924900000.0,673200000.0,9251700000.0
June 2021,494000000.0,164300000.0,9860400000.0,624200000.0,9236200000.0
September 2021,492400000.0,171500000.0,9747300000.0,649000000.0,9098300000.0
December 2021,,199100000.0,9997200000.0,718000000.0,9279200000.0
March 2022,,188200000.0,9857200000.0,732300000.0,9124900000.0
June 2022,,176600000.0,9696600000.0,748100000.0,8948500000.0
