,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2010,96300000.0,,
June 2010,101600000.0,,
September 2010,100100000.0,,
December 2010,101900000.0,1971100000.0,717200000.0
March 2011,113200000.0,,
June 2011,121100000.0,2060000000.0,798900000.0
September 2011,117100000.0,1986000000.0,749100000.0
December 2011,113400000.0,1941900000.0,720700000.0
March 2012,110100000.0,1942600000.0,738500000.0
June 2012,119100000.0,1944200000.0,754900000.0
September 2012,113600000.0,1925400000.0,747200000.0
December 2012,125700000.0,1888100000.0,724400000.0
March 2013,125300000.0,1983000000.0,831000000.0
June 2013,135100000.0,2044800000.0,749500000.0
September 2013,128000000.0,2064800000.0,767100000.0
December 2013,131200000.0,1990900000.0,700000000.0
March 2014,128200000.0,2054900000.0,782900000.0
June 2014,146100000.0,2362900000.0,933600000.0
September 2014,141700000.0,2264600000.0,860800000.0
December 2014,141800000.0,2209100000.0,822800000.0
March 2015,143300000.0,2293100000.0,886000000.0
June 2015,146100000.0,2311300000.0,922700000.0
September 2015,141100000.0,2226700000.0,847300000.0
December 2015,140500000.0,2130400000.0,771400000.0
March 2016,141500000.0,2149400000.0,804100000.0
June 2016,142300000.0,2174900000.0,842500000.0
