,Assets,AssetsCurrent
December 2010,6997062000.0,1067703000.0
March 2011,,
June 2011,7592470000.0,821027000.0
September 2011,7754909000.0,872684000.0
December 2011,8078829000.0,937967000.0
March 2012,8164807000.0,913187000.0
June 2012,8226995000.0,887974000.0
September 2012,8243502000.0,879802000.0
December 2012,8314566000.0,778154000.0
March 2013,8525609000.0,840463000.0
June 2013,8629521000.0,875036000.0
September 2013,8935321000.0,1122409000.0
December 2013,9095212000.0,1112933000.0
March 2014,9046994000.0,916137000.0
June 2014,9261680000.0,1043719000.0
September 2014,9365250000.0,989712000.0
December 2014,9546243000.0,898330000.0
March 2015,9697255000.0,938982000.0
June 2015,9757016000.0,972218000.0
September 2015,9858741000.0,979747000.0
December 2015,10059783000.0,912871000.0
March 2016,10080403000.0,798693000.0
June 2016,10413332000.0,1066698000.0
September 2016,10581763000.0,1058553000.0
December 2016,10701113000.0,1061088000.0
March 2017,10756228000.0,970959000.0
June 2017,10975573000.0,910901000.0
September 2017,11349489000.0,1052410000.0
December 2017,10928139000.0,1068903000.0
March 2018,10940489000.0,905103000.0
June 2018,11424731000.0,1193623000.0
September 2018,11816768000.0,1385112000.0
December 2018,12183268000.0,1323450000.0
March 2019,12121021000.0,936364000.0
June 2019,12424674000.0,998660000.0
September 2019,12608078000.0,918759000.0
December 2019,12990113000.0,974465000.0
March 2020,13422428000.0,932933000.0
June 2020,13643261000.0,1139013000.0
September 2020,13897052000.0,1110761000.0
December 2020,14240156000.0,1053091000.0
March 2021,14604586000.0,1261729000.0
June 2021,14968214000.0,1147587000.0
September 2021,15316166000.0,1236039000.0
December 2021,15707026000.0,1308050000.0
March 2022,15737069000.0,1229981000.0
June 2022,16085628000.0,1418816000.0
