,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,-10796.0,,,
June 2010,42942.0,,,
September 2010,,,,
December 2010,,21377272.0,5160880.0,
March 2011,3161.0,,,
June 2011,2053018.0,23457127.0,8094698.0,
September 2011,44334.0,,,
December 2011,138963.0,23070570.0,7946668.0,4455000.0
March 2012,78227.0,23547745.0,8565607.0,4410000.0
June 2012,81179.0,,,
September 2012,214812.0,23080650.0,12702040.0,0.0
December 2012,919670.0,24174480.0,13349682.0,
March 2013,230417.0,24708929.0,13987374.0,
June 2013,-107135.0,24695794.0,14038960.0,
September 2013,484468.0,23488418.0,12365141.0,
