,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,620202.0,,,
June 2010,-201066.0,,,
September 2010,-131291.0,,,
December 2010,-496402.0,17965501.0,3732916.0,6972763.0
March 2011,410686.0,18691241.0,3864442.0,7526063.0
June 2011,-338418.0,18614664.0,3255014.0,7943418.0
September 2011,-214625.0,18294618.0,2933285.0,7860834.0
December 2011,-811406.0,17599616.0,2507956.0,7792535.0
March 2012,238761.0,17696520.0,2708132.0,7697625.0
June 2012,-644659.0,16928967.0,2098642.0,7637282.0
September 2012,-930667.0,16019980.0,1320382.0,7645501.0
