,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2019,7750000.0,18750000.0,,,
June 2019,7750000.0,18750000.0,,,
September 2019,7750000.0,18750000.0,,,
December 2019,7750000.0,18750000.0,,,
March 2020,10250000.0,10000000.0,,,
June 2020,10250000.0,13000000.0,,,
September 2020,10250000.0,15000000.0,,,
December 2020,10250000.0,47000000.0,2956000000.0,1263000000.0,1693000000.0
March 2021,12000000.0,29000000.0,,,
June 2021,12000000.0,32000000.0,2939000000.0,1274000000.0,1665000000.0
September 2021,12000000.0,35000000.0,2886000000.0,1225000000.0,1661000000.0
December 2021,12000000.0,58000000.0,3069000000.0,1389000000.0,1680000000.0
March 2022,,36000000.0,3033000000.0,1517000000.0,1516000000.0
June 2022,,25000000.0,3043000000.0,1537000000.0,1506000000.0
