,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
March 2015,4210500.0,,
June 2015,4210500.0,,
September 2015,4210500.0,,
December 2015,4210500.0,,
March 2016,5149000.0,,
June 2016,5149000.0,,
September 2016,5149000.0,,
December 2016,5149000.0,295517000.0,63812000.0
March 2017,5576000.0,,
June 2017,6943000.0,,
September 2017,20010000.0,,
December 2017,15378000.0,1467262000.0,262378000.0
March 2018,15780000.0,1507621000.0,319388000.0
June 2018,13662000.0,1528301000.0,353984000.0
September 2018,15309000.0,1579055000.0,420606000.0
December 2018,16392000.0,1808027000.0,474127000.0
March 2019,15804000.0,1920202000.0,479554000.0
June 2019,15082000.0,1957003000.0,500876000.0
September 2019,16021000.0,1944000000.0,509483000.0
December 2019,17293000.0,1921611000.0,499993000.0
March 2020,17084000.0,1902744000.0,494129000.0
June 2020,15407000.0,1925391000.0,534343000.0
September 2020,17577000.0,2414601000.0,1026257000.0
December 2020,18735000.0,2368182000.0,977806000.0
March 2021,18047000.0,2301589000.0,907993000.0
June 2021,18752000.0,2106728000.0,714099000.0
September 2021,17675000.0,2075038000.0,650981000.0
December 2021,16459000.0,2010141000.0,583071000.0
March 2022,17859000.0,2004823000.0,558975000.0
June 2022,20954000.0,2017515000.0,562582000.0
