,NetIncomeLoss,Assets,AssetsCurrent
March 2008,540500.0,,
June 2008,540500.0,,
September 2008,540500.0,,
December 2008,540500.0,,
March 2009,-21738000.0,,
June 2009,-11837000.0,,
September 2009,-4781000.0,,
December 2009,-19682000.0,3943541000.0,367936000.0
March 2010,-24827000.0,,
June 2010,-8937000.0,3781153000.0,320571000.0
September 2010,781000.0,3718944000.0,321422000.0
December 2010,-7119000.0,3648961000.0,309409000.0
March 2011,-13240000.0,3577463000.0,274124000.0
June 2011,11426000.0,3538249000.0,279872000.0
September 2011,3992000.0,3501751000.0,286939000.0
December 2011,6372000.0,3427353000.0,256625000.0
March 2012,-22816000.0,3416831000.0,281629000.0
June 2012,13922000.0,3460550000.0,360582000.0
September 2012,11496000.0,3393194000.0,297112000.0
December 2012,5288000.0,3514030000.0,301235000.0
March 2013,-6070000.0,3510658000.0,335703000.0
June 2013,21255000.0,3558521000.0,401392000.0
September 2013,18340000.0,3625422000.0,461682000.0
December 2013,6614000.0,3401618000.0,282058000.0
March 2014,-4837000.0,3426578000.0,343117000.0
June 2014,15422000.0,3376470000.0,332161000.0
September 2014,35050000.0,3369760000.0,314876000.0
December 2014,207883000.0,3318818000.0,273144000.0
March 2015,40716000.0,3355224000.0,309852000.0
June 2015,59360000.0,3369706000.0,316696000.0
September 2015,85965000.0,3416400000.0,320843000.0
December 2015,76529000.0,3363744000.0,281732000.0
March 2016,51314000.0,3894512000.0,327257000.0
June 2016,81909000.0,3912521000.0,363653000.0
September 2016,85061000.0,3902520000.0,355242000.0
December 2016,80525000.0,3900466000.0,315835000.0
March 2017,41787000.0,3924595000.0,350344000.0
June 2017,92394000.0,3946077000.0,385338000.0
September 2017,96331000.0,4003230000.0,370510000.0
December 2017,87164000.0,4214345000.0,420519000.0
March 2018,15052000.0,4114527000.0,355999000.0
June 2018,100431000.0,4119970000.0,381689000.0
September 2018,94056000.0,4124620000.0,365898000.0
December 2018,95693000.0,4544641000.0,363669000.0
March 2019,51253000.0,5794544000.0,287836000.0
June 2019,118396000.0,5799165000.0,302159000.0
September 2019,99709000.0,5931736000.0,316553000.0
December 2019,102753000.0,5941155000.0,310169000.0
March 2020,40493000.0,6393001000.0,784585000.0
June 2020,31429000.0,5981581000.0,444237000.0
September 2020,62758000.0,5778403000.0,319783000.0
December 2020,108706000.0,5791441000.0,380570000.0
March 2021,38329000.0,5650497000.0,287351000.0
June 2021,119609000.0,5715298000.0,348193000.0
September 2021,106838000.0,5818687000.0,370432000.0
December 2021,123314000.0,6047494000.0,388607000.0
March 2022,92151000.0,6093863000.0,407646000.0
June 2022,134205000.0,6282037000.0,440086000.0
