,NetIncomeLoss,Assets
March 2018,30681750.0,
June 2018,30681750.0,
September 2018,30681750.0,
December 2018,30681750.0,11378287000.0
March 2019,32965000.0,
June 2019,35053000.0,11513684000.0
September 2019,35842000.0,11506550000.0
December 2019,31238000.0,11628775000.0
March 2020,8445000.0,12343754000.0
June 2020,29850000.0,13996523000.0
September 2020,28505000.0,15460594000.0
December 2020,-44062000.0,15964190000.0
March 2021,47663000.0,16726795000.0
June 2021,34809000.0,17047453000.0
September 2021,37106000.0,17461223000.0
December 2021,35087000.0,23512128000.0
March 2022,51516000.0,22836072000.0
June 2022,51172000.0,22350848000.0
