,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,117031250.0,-21055250.0,,,
June 2009,117031250.0,-21055250.0,,,
September 2009,117031250.0,-21055250.0,,,
December 2009,117031250.0,-21055250.0,,,
March 2010,111532000.0,-15272000.0,,,
June 2010,113254000.0,-25522000.0,,,
September 2010,97723000.0,-33527000.0,,,
December 2010,84396000.0,-80679000.0,1237713000.0,294732000.0,843892000.0
March 2011,101901000.0,-41191000.0,,,
June 2011,99283000.0,-31653000.0,1181101000.0,303924000.0,781161000.0
September 2011,95132000.0,-28588000.0,1122642000.0,275844000.0,755455000.0
December 2011,84008000.0,-176961000.0,916677000.0,265914000.0,556309000.0
