,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
September 2010,910000.0,-1000.0,,
December 2010,926000.0,-423000.0,,
March 2011,2418000.0,-876000.0,,
June 2011,6270000.0,-981000.0,13650000.0,11853000.0
September 2011,689000.0,363000.0,13409000.0,11698000.0
December 2011,742000.0,-784000.0,11530000.0,9903000.0
March 2012,1772000.0,-738000.0,10752000.0,8040000.0
June 2012,-1772000.0,738000.0,11877000.0,8684000.0
September 2012,1196000.0,-972000.0,12174000.0,9185000.0
December 2012,1108000.0,817000.0,13587000.0,10730000.0
March 2013,1072000.0,-532000.0,12727000.0,9918000.0
June 2013,-1072000.0,532000.0,12611000.0,9928000.0
September 2013,937000.0,298000.0,12567000.0,10009000.0
December 2013,850000.0,397000.0,,
March 2014,923000.0,-450000.0,10322000.0,7846000.0
June 2014,821000.0,-114000.0,11583000.0,9166000.0
September 2014,852000.0,403000.0,13144000.0,10486000.0
December 2014,856000.0,547000.0,13661000.0,11117000.0
March 2015,887000.0,-106000.0,12420000.0,9994000.0
June 2015,865000.0,-109000.0,11623000.0,9322000.0
September 2015,830000.0,241000.0,12077000.0,9833000.0
December 2015,807000.0,-63000.0,14220000.0,11939000.0
March 2016,874000.0,33000.0,14112000.0,11730000.0
June 2016,879000.0,747000.0,14085000.0,12070000.0
September 2016,793000.0,649000.0,14647000.0,12704000.0
December 2016,900000.0,-77000.0,14998000.0,13087000.0
March 2017,910000.0,238000.0,13614000.0,11636000.0
June 2017,877000.0,1536000.0,15196000.0,12551000.0
September 2017,794000.0,-179000.0,13381000.0,10635000.0
December 2017,850000.0,-348000.0,15648000.0,13212000.0
March 2018,809000.0,388000.0,14621000.0,12294000.0
June 2018,841000.0,818000.0,14568000.0,12154000.0
September 2018,814000.0,159000.0,19724000.0,13733000.0
December 2018,843000.0,246000.0,22575000.0,16540000.0
March 2019,856000.0,923000.0,22221000.0,16350000.0
June 2019,1005000.0,360000.0,19790000.0,14079000.0
September 2019,923000.0,312000.0,19641000.0,14083000.0
December 2019,821000.0,959000.0,19971000.0,14536000.0
March 2020,892000.0,936000.0,20645000.0,15297000.0
June 2020,832000.0,1901000.0,22944000.0,16461000.0
September 2020,864000.0,1041000.0,24630000.0,18574000.0
December 2020,930000.0,1224000.0,25263000.0,19099000.0
March 2021,942000.0,1241000.0,26131000.0,20526000.0
June 2021,960000.0,4507000.0,25440000.0,17998000.0
September 2021,839000.0,516000.0,24336000.0,16984000.0
December 2021,1020000.0,1031000.0,27071000.0,19347000.0
March 2022,990000.0,797000.0,27697000.0,20043000.0
June 2022,958000.0,1494000.0,25250000.0,16626000.0
