,NetIncomeLoss,Assets,AssetsCurrent
March 2019,20368250.0,,
June 2019,20368250.0,,
September 2019,20368250.0,,
December 2019,20368250.0,,
March 2020,38990053.0,,
June 2020,38990053.0,,
September 2020,-717.0,54500.0,
December 2020,-164389.0,237253393.0,1038304.0
March 2021,23222000.0,237111811.0,831011.0
June 2021,-21655640.0,236638634.0,352100.0
September 2021,176911.0,236530120.0,240546.0
December 2021,11768729.0,131354000.0,78271000.0
March 2022,4741000.0,143491000.0,88279000.0
June 2022,8474000.0,151859000.0,91082000.0
