,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2010,,1621500.0,,
June 2010,,1621500.0,,
September 2010,,1978000.0,,
December 2010,,4202000.0,23725000.0,17488000.0
March 2011,469500.0,293500.0,,
June 2011,469500.0,293500.0,,
September 2011,469500.0,91000.0,33939000.0,27223000.0
December 2011,469500.0,-296000.0,32421000.0,24946000.0
March 2012,501250.0,-593000.0,,
June 2012,501250.0,-215000.0,,
September 2012,501250.0,-314000.0,29977000.0,21716000.0
December 2012,501250.0,-198000.0,29593000.0,21603000.0
March 2013,571250.0,-83000.0,28936000.0,20918000.0
June 2013,571250.0,-4964000.0,23700000.0,18863000.0
September 2013,571250.0,-1199000.0,22624000.0,17847000.0
December 2013,571250.0,-1973000.0,21263000.0,16954000.0
March 2014,541500.0,-809000.0,20800000.0,16056000.0
June 2014,541500.0,-1269000.0,20476000.0,15925000.0
September 2014,541500.0,-492000.0,18139000.0,13689000.0
December 2014,541500.0,-255000.0,17262000.0,12934000.0
March 2015,491000.0,-178000.0,16913000.0,12547000.0
June 2015,491000.0,-201000.0,16547000.0,12380000.0
September 2015,491000.0,-195000.0,16117000.0,12106000.0
December 2015,491000.0,-137000.0,15803000.0,11952000.0
March 2016,476500.0,-126000.0,15721000.0,12029000.0
June 2016,476500.0,16000.0,15923000.0,12404000.0
September 2016,476500.0,32000.0,16246000.0,12579000.0
December 2016,476500.0,226000.0,16646000.0,12890000.0
March 2017,456750.0,111000.0,16895000.0,13312000.0
June 2017,456750.0,20000.0,16745000.0,13325000.0
September 2017,456750.0,17000.0,16499000.0,13121000.0
December 2017,456750.0,-31000.0,27555000.0,24550000.0
March 2018,486750.0,193000.0,27956000.0,24995000.0
June 2018,486750.0,472000.0,28419000.0,25579000.0
September 2018,486750.0,478000.0,30191000.0,27454000.0
December 2018,486750.0,262000.0,30075000.0,27385000.0
March 2019,501000.0,582000.0,32119000.0,29017000.0
June 2019,501000.0,939000.0,33339000.0,29813000.0
September 2019,501000.0,4530000.0,38666000.0,31845000.0
December 2019,501000.0,965000.0,39217000.0,28910000.0
March 2020,535500.0,183000.0,43098000.0,33083000.0
June 2020,535500.0,255000.0,42702000.0,32917000.0
September 2020,535500.0,629000.0,43086000.0,33264000.0
December 2020,535500.0,-99000.0,43455000.0,33781000.0
March 2021,553000.0,27000.0,46450000.0,34213000.0
June 2021,553000.0,-18000.0,43399000.0,31719000.0
September 2021,553000.0,31780000.0,80931000.0,77126000.0
December 2021,553000.0,-17151000.0,59906000.0,55836000.0
March 2022,,169000.0,60229000.0,56108000.0
June 2022,,-1798000.0,57446000.0,52916000.0
