,OperatingExpenses,ResearchAndDevelopmentExpense,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,30599500.0,11157750.0,,,
June 2009,30599500.0,11157750.0,,,
September 2009,30599500.0,11157750.0,,,
December 2009,30599500.0,11157750.0,,,
March 2010,29458000.0,10659000.0,,,
June 2010,31362000.0,12463000.0,,,
September 2010,30548000.0,11835000.0,,,
December 2010,29188000.0,10173000.0,495881000.0,110999000.0,
March 2011,28032000.0,10505000.0,,,
June 2011,28166000.0,10342000.0,470630000.0,106568000.0,
September 2011,28669000.0,10338000.0,476392000.0,116983000.0,
December 2011,26824000.0,9760000.0,358804000.0,98127000.0,
March 2012,-360000.0,10362000.0,392389000.0,137200000.0,
June 2012,23184000.0,10409000.0,358779000.0,110201000.0,
September 2012,26769000.0,10511000.0,350226000.0,117068000.0,
December 2012,26354000.0,9322000.0,322926000.0,94817000.0,
March 2013,32048000.0,11998000.0,312837000.0,90883000.0,
June 2013,24823000.0,7537000.0,295503000.0,78114000.0,
September 2013,28289000.0,5893000.0,283025000.0,79412000.0,
December 2013,11215000.0,5031000.0,259385000.0,77319000.0,19700000.0
March 2014,21572000.0,3222000.0,258367000.0,82230000.0,
June 2014,21079000.0,2687000.0,251579000.0,78071000.0,
September 2014,20098000.0,3049000.0,258054000.0,87431000.0,
December 2014,20961000.0,4715000.0,247516000.0,79181000.0,17800000.0
March 2015,24109000.0,6196000.0,248736000.0,88582000.0,
