,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
September 2012,,-2130495.5,,,
December 2012,,-2130495.5,,,
March 2013,,-2130495.5,,,
June 2013,,-2130495.5,,,
September 2013,629280.0,-1263609.0,,,
December 2013,629280.0,-1321410.0,,,
March 2014,608414.0,-1228620.0,,,
June 2014,796403.0,-1230862.0,32242852.0,1242779.0,31000073.0
September 2014,844169.0,-1467214.0,,,
December 2014,452350.0,-1161199.0,,,
March 2015,495234.0,-1214312.0,31735233.0,1125385.0,30609848.0
June 2015,1359534.0,-1455361.0,40150026.0,9581981.0,30568045.0
September 2015,808481.0,-801993.0,39396158.0,8827928.0,30568230.0
December 2015,861999.0,-734967.0,38718344.0,8285213.0,30433131.0
March 2016,1033971.0,-1100601.0,38063562.0,7627702.0,30435860.0
June 2016,2751853.0,-2704611.0,35484027.0,7444342.0,28039685.0
September 2016,1270320.0,1953496.0,53105942.0,4278345.0,48827597.0
December 2016,1907971.0,-1824892.0,51016688.0,2247589.0,48769099.0
March 2017,1765137.0,-1424462.0,53360748.0,4803994.0,48556754.0
June 2017,3049219.0,-3043744.0,50700189.0,2140582.0,48559607.0
September 2017,1170135.0,-1082719.0,49491609.0,929124.0,48562485.0
December 2017,1821217.0,-1818890.0,54117733.0,5632556.0,48485177.0
March 2018,1687771.0,-1658748.0,52602677.0,1733225.0,50869452.0
June 2018,1750229.0,-1507797.0,51196620.0,557806.0,50638814.0
September 2018,1167883.0,-1058893.0,52666275.0,2120613.0,50545662.0
December 2018,1522324.0,-1430323.0,51312858.0,832387.0,50480471.0
March 2019,1391555.0,-1173413.0,51049430.0,774307.0,50275123.0
June 2019,2306370.0,-2307419.0,49275729.0,812461.0,48463268.0
September 2019,1023600.0,-1006499.0,54280216.0,5836350.0,48443866.0
December 2019,2531352.0,-2342517.0,51337656.0,3191449.0,48146207.0
March 2020,1711358.0,-1440372.0,49942227.0,2185168.0,47757059.0
June 2020,1520041.0,-1640753.0,53913498.0,5876677.0,48036821.0
September 2020,1277995.0,-1331508.0,53187629.0,5213419.0,47974210.0
December 2020,1848720.0,-1774899.0,51853116.0,4049672.0,47803444.0
March 2021,1254383.0,-1354467.0,52908130.0,5105282.0,47802848.0
June 2021,1448808.0,-1442744.0,54002826.0,4265460.0,49737366.0
September 2021,1928270.0,-1913746.0,54244906.0,4493633.0,49751273.0
December 2021,2601093.0,-2702425.0,51863557.0,2112726.0,49750831.0
March 2022,1461932.0,-1347036.0,54808336.0,5035405.0,49772931.0
June 2022,1500465.0,-1874109.0,56012713.0,3765051.0,52247662.0
