,SellingGeneralAndAdministrativeExpense,Assets
March 2009,3213500.0,
June 2009,3213500.0,
September 2009,3213500.0,
December 2009,3213500.0,
March 2010,3045000.0,
June 2010,3073000.0,
September 2010,3156000.0,
December 2010,3488000.0,468062000.0
March 2011,3471000.0,
June 2011,3145000.0,467248000.0
September 2011,3226000.0,473382000.0
December 2011,3202000.0,485969000.0
March 2012,3294000.0,512671000.0
June 2012,3489000.0,532251000.0
September 2012,3390000.0,579037000.0
December 2012,3374000.0,602348000.0
March 2013,3543000.0,639640000.0
June 2013,3900000.0,679539000.0
September 2013,3475000.0,673151000.0
December 2013,3807000.0,702207000.0
March 2014,4189000.0,741036000.0
June 2014,3969000.0,736245000.0
September 2014,3818000.0,740185000.0
December 2014,3630000.0,758449000.0
March 2015,4093000.0,769229000.0
June 2015,4330000.0,764972000.0
September 2015,4357000.0,790454000.0
December 2015,4671000.0,772984000.0
March 2016,4465000.0,801106000.0
June 2016,4628000.0,841791000.0
September 2016,4980000.0,869001000.0
December 2016,5450000.0,892158000.0
March 2017,10170000.0,944492000.0
June 2017,6110000.0,985082000.0
September 2017,6409000.0,1013017000.0
December 2017,5583000.0,1040160000.0
March 2018,6571000.0,1071225000.0
June 2018,6449000.0,1113311000.0
September 2018,5445000.0,1126733000.0
December 2018,6450000.0,1167046000.0
March 2019,13354000.0,1246725000.0
June 2019,6068000.0,1279983000.0
September 2019,6092000.0,1247416000.0
December 2019,7052000.0,1207443000.0
March 2020,13605000.0,1263537000.0
June 2020,5847000.0,1196215000.0
September 2020,4717000.0,1105951000.0
December 2020,6745000.0,1021998000.0
March 2021,11246000.0,972864000.0
June 2021,8377000.0,985439000.0
September 2021,6200000.0,1067312000.0
