,OperatingExpenses,Assets
March 2010,75743000.0,
June 2010,75743000.0,
September 2010,75743000.0,
December 2010,75743000.0,10883489000.0
March 2011,51347000.0,
June 2011,59468000.0,
September 2011,60375000.0,
December 2011,71388000.0,11901151000.0
March 2012,49507000.0,
June 2012,57935000.0,
September 2012,62171000.0,
December 2012,80625000.0,13346529000.0
March 2013,52587000.0,13283748000.0
June 2013,42913000.0,13697942000.0
September 2013,52335000.0,14604424000.0
December 2013,51802000.0,14986704000.0
March 2014,55986000.0,14782160000.0
June 2014,61835000.0,15579868000.0
September 2014,71393000.0,16135512000.0
December 2014,72741000.0,15909565000.0
March 2015,68906000.0,15366410000.0
June 2015,74438000.0,15378336000.0
September 2015,82119000.0,15111529000.0
December 2015,86504000.0,15028014000.0
March 2016,78382000.0,14632667000.0
June 2016,91008000.0,14647527000.0
September 2016,93298000.0,14225381000.0
December 2016,97118000.0,14043259000.0
March 2017,101676000.0,13458146000.0
June 2017,95994000.0,13453988000.0
September 2017,106591000.0,13593930000.0
December 2017,108660000.0,13512078000.0
March 2018,96020000.0,12937359000.0
June 2018,85287000.0,13176641000.0
September 2018,83332000.0,12714378000.0
December 2018,90118000.0,12931912000.0
March 2019,82697000.0,12767955000.0
June 2019,94183000.0,12948850000.0
September 2019,86091000.0,12759215000.0
December 2019,97431000.0,12854087000.0
March 2020,91624000.0,12186273000.0
June 2020,99183000.0,12185556000.0
September 2020,90904000.0,12243247000.0
December 2020,95946000.0,12451169000.0
March 2021,73382000.0,12189780000.0
June 2021,73374000.0,12206072000.0
September 2021,76802000.0,12389191000.0
December 2021,69698000.0,12187768000.0
March 2022,65075000.0,12090178000.0
June 2022,62645000.0,12231446000.0
