,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2013,247716.0,60368.0,,,
June 2013,274416.0,-261330.0,,,
September 2013,233848.0,-544253.0,,,
December 2013,250820.0,-781558.0,6075622.0,3369382.0,2706240.0
March 2014,253538.0,-595600.0,17782637.0,15163222.0,2619415.0
June 2014,248951.0,-510788.0,17773670.0,15239417.0,2534253.0
September 2014,183886.0,-1124320.0,16782653.0,14312949.0,2469704.0
December 2014,229933.0,-896459.0,16650872.0,13059733.0,3591139.0
March 2015,305574.0,-1321799.0,15360198.0,11808942.0,3551256.0
June 2015,378225.0,-2086229.0,13284292.0,9883781.0,3400511.0
September 2015,319646.0,-2326893.0,11054522.0,8257337.0,2797185.0
December 2015,403450.0,-3576992.0,8271909.0,6481068.0,1790841.0
March 2016,363292.0,-1508929.0,6654197.0,4836063.0,1818134.0
June 2016,321989.0,-1008932.0,5684031.0,3925634.0,1758397.0
September 2016,247578.0,310155.0,5779906.0,3846603.0,1933303.0
December 2016,256009.0,-1095832.0,5085107.0,3186944.0,1898163.0
March 2017,348442.0,-1349270.0,7105800.0,5329128.0,1776672.0
June 2017,290841.0,-818008.0,6562562.0,4906089.0,1656473.0
September 2017,290447.0,-1177644.0,5528333.0,3983292.0,1545041.0
December 2017,307654.0,-2460404.0,9337890.0,7775899.0,1561991.0
March 2018,391381.0,-1859991.0,12796783.0,11163761.0,1633022.0
June 2018,259124.0,-2067453.0,12646690.0,10571624.0,2075066.0
September 2018,160867.0,-3083949.0,10020622.0,7910171.0,2110451.0
December 2018,251881.0,-3837641.0,7807253.0,6670128.0,1137125.0
March 2019,88391.0,-916958.0,7042339.0,5962306.0,1080033.0
June 2019,60909.0,-794891.0,5931852.0,5249629.0,682223.0
September 2019,57502.0,-837026.0,4971158.0,4315372.0,655786.0
December 2019,69986.0,-1339374.0,10884935.0,10310814.0,574121.0
March 2020,2483057.0,-3538536.0,9121799.0,8296430.0,825369.0
June 2020,1916161.0,-1094909.0,18677738.0,18477919.0,199819.0
September 2020,1741269.0,-7127197.0,23724815.0,23565514.0,159301.0
December 2020,1823191.0,-5819967.0,676697.0,149502.0,527195.0
March 2021,1350976.0,-3089704.0,35797851.0,34297851.0,1500000.0
June 2021,1661265.0,-18092336.0,34448345.0,22374934.0,12073411.0
September 2021,1866431.5,-5467281.0,28010376.0,15947606.0,12062770.0
December 2021,1866431.5,-3239724.0,24812933.0,12665385.0,12147548.0
March 2022,2629741.0,-4122033.0,22203524.0,10072235.0,12131289.0
June 2022,2163968.0,-3636043.0,19161171.0,6992406.0,12168765.0
