,OperatingExpenses,Assets,AssetsCurrent
March 2010,131004.0,,
June 2010,128763.0,,
September 2010,120593.0,,
December 2010,108314.0,11075875.0,
March 2011,122861.0,,
June 2011,130675.0,10923827.0,
September 2011,119119.0,10842736.0,
December 2011,92154.0,10739344.0,
March 2012,152512.0,10935547.0,
June 2012,140786.0,10725522.0,
September 2012,121716.0,10596875.0,
December 2012,98269.0,10787745.0,
March 2013,111543.0,11264694.0,
June 2013,154523.0,10993277.0,
September 2013,117496.0,10936867.0,
December 2013,109249.0,10669372.0,
March 2014,125967.0,10504859.0,
June 2014,129009.0,10339190.0,
September 2014,119310.0,10257022.0,
December 2014,117653.0,9928357.0,
March 2015,131554.0,9875143.0,
June 2015,139650.0,9409660.0,
September 2015,118523.0,9366936.0,
December 2015,112464.0,9089251.0,
March 2016,116609.0,9061855.0,
June 2016,120129.0,8900782.0,
September 2016,114200.0,8817997.0,
December 2016,108870.0,8535828.0,
March 2017,116735.0,8490182.0,
June 2017,113653.0,8308787.0,
September 2017,112912.0,8242273.0,
December 2017,114351.0,7974137.0,
March 2018,116680.0,7909224.0,
June 2018,114477.0,7704935.0,
September 2018,108988.0,7627269.0,
December 2018,108723.0,7552374.0,
March 2019,112977.0,7441939.0,
June 2019,100112.0,7633648.0,
September 2019,84602.0,8430717.0,
December 2019,86025.0,8114702.0,
March 2020,96226.0,8003957.0,
June 2020,76427.0,7939987.0,
September 2020,97654.0,8202269.0,
December 2020,104296.0,8089826.0,1802014.0
March 2021,112594.0,8019652.0,
June 2021,115270.0,7638093.0,
September 2021,109452.0,7558613.0,
December 2021,107660.0,7262630.0,1311306.0
March 2022,121713.0,7498034.0,2744856.0
June 2022,90269.0,7354110.0,3219175.0
