,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2010,227681.0,166868.5,-245177.0,,
June 2010,227681.0,166868.5,-245177.0,,
September 2010,202987.0,147027.0,-231854.0,,
December 2010,764584.0,282744.0,-797750.0,3627597.0,1869139.0
March 2011,461430.0,426514.0,-548240.0,,
June 2011,-381541.0,-346625.0,-490982.0,,
September 2011,208986.0,208731.0,-702041.0,4008506.0,232428.0
December 2011,2968266.0,1180441.0,-2407777.0,2938628.0,617147.0
March 2012,634752.0,634752.0,-365635.0,1869944.0,92494.0
June 2012,518455.0,457151.0,-323209.0,,
September 2012,8163564.0,1021221.0,-8469119.0,11627121.0,5758759.0
December 2012,1965328.0,1616401.0,-2855048.0,11146724.0,2824273.0
March 2013,1552857.0,1260089.0,-1481323.0,19325098.0,4428468.0
June 2013,1928053.0,1288253.0,-2432931.0,17636060.0,2216542.0
September 2013,1952367.0,1500867.0,-2065310.0,28769115.0,4649903.0
December 2013,6312586.0,3099894.0,-12165899.0,25800605.0,6974233.0
March 2014,3479997.0,2356160.0,-13170020.0,44370419.0,10860200.0
June 2014,3467101.0,1653279.0,-4202000.0,42269437.0,9587008.0
September 2014,2986000.0,2198000.0,-4965353.0,46796384.0,13083734.0
December 2014,8167902.0,2504561.0,-10235627.0,41740000.0,9624000.0
March 2015,5509000.0,2451000.0,-4182000.0,71875000.0,6019000.0
June 2015,3885000.0,1832000.0,-5444000.0,70290000.0,6373000.0
September 2015,3121000.0,1389000.0,-5459000.0,69214000.0,5150000.0
December 2015,3460000.0,1290000.0,-6235000.0,60777000.0,1921000.0
March 2016,3074000.0,1416000.0,-6578000.0,63362000.0,2309000.0
June 2016,1045000.0,1305000.0,-3434000.0,62401000.0,1680000.0
September 2016,1644000.0,597000.0,-3514000.0,61602000.0,1380000.0
December 2016,3865000.0,594000.0,-6093000.0,58780000.0,1296000.0
March 2017,1810000.0,800000.0,-4172000.0,57978000.0,1152000.0
June 2017,1964000.0,694000.0,-4314000.0,57380000.0,1417000.0
September 2017,2114000.0,511000.0,-4605000.0,56202000.0,1566000.0
December 2017,20695000.0,524000.0,-23279000.0,36401000.0,1394000.0
March 2018,1642000.0,738000.0,-4234000.0,35831000.0,1387000.0
June 2018,1762000.0,616000.0,66290000.0,35071000.0,1322000.0
September 2018,3495000.0,1622000.0,-2733000.0,58893000.0,3826000.0
December 2018,6628000.0,1164000.0,-5716000.0,67525000.0,6825000.0
March 2019,4557000.0,1328000.0,-2995000.0,84354000.0,12395000.0
June 2019,6536000.0,1644000.0,-2460000.0,92929000.0,14813000.0
September 2019,7036000.0,1366000.0,-3906000.0,119934000.0,36127000.0
December 2019,6110000.0,1447000.0,-1741000.0,122896000.0,27090000.0
March 2020,7112000.0,2123000.0,-4257000.0,112080000.0,15302000.0
June 2020,4084000.0,1422000.0,-2741000.0,106595000.0,10888000.0
September 2020,5310000.0,1281000.0,-2293000.0,102711000.0,9545000.0
December 2020,25375000.0,1915000.0,-23399000.0,79564000.0,8753000.0
March 2021,4614000.0,1767000.0,728000.0,90089000.0,20008000.0
June 2021,4387000.0,1330000.0,-225000.0,89840000.0,20899000.0
September 2021,4426000.0,1337000.0,-325000.0,90351000.0,21807000.0
December 2021,6105000.0,1775000.0,-1477000.0,98221000.0,28038000.0
March 2022,5834000.0,1592000.0,1339000.0,101389000.0,26024000.0
June 2022,6326000.0,1296000.0,3210000.0,102651000.0,27885000.0
