,OperatingExpenses,NetIncomeLoss,Assets,AssetsNoncurrent
March 2009,36905750.0,-19924500.0,,
June 2009,36905750.0,-19924500.0,,
September 2009,36905750.0,-19924500.0,,
December 2009,36905750.0,-19924500.0,,
March 2010,27053000.0,-15333500.0,,
June 2010,27053000.0,-15333500.0,,
September 2010,26307000.0,-8955000.0,,
December 2010,-80293980.0,-27574000.0,1384761000.0,
March 2011,29867.0,-12048000.0,,
June 2011,23444000.0,-14231000.0,,
September 2011,26627000.0,-764000.0,1151581000.0,
December 2011,94937133.0,26996679.0,1160324.0,68261000.0
March 2012,22943.0,-4128000.0,1115059000.0,62204000.0
June 2012,20652.0,2457000.0,1093782000.0,
September 2012,21474.0,-219000.0,1044265000.0,
December 2012,69091931.0,1881676.0,1045344.0,
March 2013,16416000.0,88500.0,999611.0,
June 2013,21014.0,88500.0,969814.0,
September 2013,17472000.0,-5854000.0,971246.0,
December 2013,32498000.0,64207000.0,897671.0,
March 2014,17938.0,4551000.0,900404.0,
June 2014,18388000.0,2390000.0,881223000.0,
September 2014,17263000.0,-2346000.0,895990000.0,
December 2014,22059000.0,37382000.0,930405000.0,
March 2015,19264000.0,105000.0,,
June 2015,19310000.0,138000.0,1067994000.0,
September 2015,24613000.0,-6601000.0,1076577000.0,
December 2015,29732000.0,-1278000.0,1110204000.0,
March 2016,24823000.0,-3540000.0,1102720000.0,
June 2016,24751000.0,4659000.0,1133360000.0,
September 2016,25429000.0,-4546000.0,1151548000.0,
December 2016,25821000.0,3464000.0,1185914000.0,
March 2017,26337000.0,-5134000.0,1227715000.0,
June 2017,25460000.0,-10410000.0,1250091000.0,
September 2017,25725000.0,7074000.0,1250727000.0,
December 2017,27606000.0,-7345000.0,1313422000.0,
March 2018,25894000.0,-233000.0,1330589000.0,
June 2018,26966000.0,7246000.0,1368745000.0,
September 2018,27734000.0,22203000.0,1422930000.0,
December 2018,24240000.0,152234000.0,862380000.0,
March 2019,13182000.0,-5609000.0,852614000.0,
June 2019,15220000.0,-6345000.0,853887000.0,
September 2019,12948000.0,-7787000.0,872869000.0,
December 2019,14356000.0,-7179000.0,865918000.0,
March 2020,,4613000.0,850789000.0,
June 2020,,-4158000.0,864167000.0,
September 2020,,7693000.0,845345000.0,
December 2020,,-1479000.0,879082000.0,
March 2021,,22632000.0,837502000.0,
June 2021,,-30733000.0,825242000.0,
September 2021,,26246000.0,791241000.0,
December 2021,,-8747000.0,788409000.0,
March 2022,,14502000.0,750959000.0,
June 2022,,16461000.0,754466000.0,
