,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2017,0.0,-8.0,,,
June 2017,-16.0,-8.0,,,
September 2017,-1161.0,-1161.0,,,
December 2017,-7282.0,,,,
March 2018,-5185.0,543.5,,,
June 2018,-5089.0,543.5,,,
September 2018,-4079.0,-4079.0,,,
December 2018,-3417.0,-1028.0,,,
March 2019,-8439.0,-3439.0,,,
June 2019,-2942.0,-1492.0,,,
September 2019,-7832.0,10952.0,,,
December 2019,-18069.0,-8348.0,,,
March 2020,-9984.0,-9984.0,,,
June 2020,-8413.0,-8413.0,,,
September 2020,-13556.0,5109.0,,,
December 2020,-12194.0,-6219.0,,,
March 2021,-15763.0,-15763.0,,,
June 2021,23893.0,-23893.0,,,
September 2021,3627.0,-1027.0,,,
December 2021,42076.0,-5400.0,,,
March 2022,10277.0,-5627.0,,,
June 2022,1360.0,-1360.0,,,
