,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2009,26952500.0,,
June 2009,26952500.0,,
September 2009,26952500.0,,
December 2009,26952500.0,,
March 2010,31221000.0,,
June 2010,31195000.0,,
September 2010,31620000.0,,
December 2010,29946000.0,353583000.0,226128000.0
March 2011,32179000.0,,
June 2011,34415000.0,405263000.0,277237000.0
September 2011,31517000.0,417480000.0,289325000.0
December 2011,34091000.0,395235000.0,265425000.0
March 2012,33068000.0,412657000.0,283470000.0
June 2012,34570000.0,417359000.0,287759000.0
September 2012,30979000.0,437716000.0,307962000.0
December 2012,34576000.0,435951000.0,305470000.0
March 2013,32455000.0,433409000.0,303363000.0
June 2013,33335000.0,429911000.0,300838000.0
