,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
September 2010,23225.333333333332,,,-23226.0,,,
December 2010,37097.0,,,-41274.0,,,
March 2011,45451.0,,,-41274.0,,,
June 2011,23225.333333333332,,,-23226.0,,,
September 2011,23225.333333333332,,,-23226.0,1037.0,175.0,
December 2011,28530.0,0.0,,-28508.0,,,
March 2012,44776.0,0.0,,-44535.0,51739.0,35469.0,
June 2012,63777.0,0.0,,-63690.0,,,
September 2012,,,,,8224357.0,120404.0,
December 2012,582097.0,2769.0,,-542545.0,8115741.0,90554.0,
March 2013,1049284.0,150.0,,-1002020.0,8464591.0,507962.0,
June 2013,536538.0,3475.0,,-558093.0,8544310.0,666788.0,
September 2013,,,,,8686464.0,730011.0,
December 2013,621347.0,441.0,,-538623.0,8227594.0,388503.0,
March 2014,,,,,,,
June 2014,,,,,,,
September 2014,,,,,,,
December 2014,578898.5,,552220.25,-156117.0,,,
March 2015,578898.5,,552220.25,-156117.0,,,
June 2015,646235.0,,552220.25,-468310.0,,,
September 2015,5368263.0,,552220.25,-6248776.0,914370.0,310598.0,
December 2015,625972.0,,534414.0,-574194.0,,,
March 2016,671393.0,,534414.0,-682588.0,,,
June 2016,430370.0,,534414.0,-279150.0,607407.0,207502.0,
September 2016,759560.0,,534414.0,-935380.0,230333.0,197752.0,32581.0
December 2016,495527.0,,,-415500.0,244884.0,212754.0,
March 2017,678985.0,,,-274820.0,413532.0,384103.0,
June 2017,650511.0,,,-585168.0,169903.0,141785.0,28118.0
September 2017,304161.0,,,-315242.0,90340.0,68454.0,21886.0
December 2017,334163.0,,,-352033.0,,,
March 2018,561317.0,,,-826105.0,74591.0,54683.0,19908.0
June 2018,837368.0,,,-1582616.0,52721.0,33078.0,19643.0
September 2018,493514.0,,,-648429.0,25139.0,5760.0,19379.0
December 2018,475864.0,,,-573929.0,153865.0,134750.0,19115.0
March 2019,535593.0,,,-580067.0,66021.0,62170.0,3851.0
June 2019,404210.0,,,-510915.0,108190.0,104603.0,3587.0
September 2019,364267.0,,,-722636.0,109709.0,108147.0,1562.0
December 2019,337273.0,,,-324467.0,120560.0,97863.0,22697.0
March 2020,423130.0,,,-919556.0,128808.0,111306.0,17502.0
June 2020,813380.0,,,-819058.0,184150.0,171893.0,12257.0
September 2020,352811.0,,,-157995.0,153341.0,146380.0,6961.0
December 2020,308541.0,,,-180698.0,239147.0,237534.0,1613.0
March 2021,362218.0,,,-213177.0,287650.0,287650.0,
June 2021,272666.0,,,-153597.0,208429.0,208429.0,
September 2021,295813.0,,,-258793.0,82079.0,82079.0,
December 2021,287749.0,,,-132213.0,40916.0,40916.0,
March 2022,310702.0,,,-177920.0,92591.0,92591.0,
June 2022,430227.0,,,-622121.0,141786.0,141786.0,
