,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2012,227395000.0,213102000.0,26884000.0,,
June 2012,227395000.0,228667000.0,59393000.0,,
September 2012,227395000.0,218188000.0,48843000.0,,
December 2012,227395000.0,155201000.0,-3404000.0,,
March 2013,239845500.0,225367000.0,33091000.0,,
June 2013,239845500.0,232505000.0,42943000.0,,
September 2013,239845500.0,210867000.0,38204000.0,,
December 2013,239845500.0,177843000.0,-30447000.0,,
March 2014,256083000.0,227312000.0,16486000.0,,
June 2014,315838000.0,315838000.0,12256000.0,,
September 2014,324030000.0,281955000.0,6793000.0,,
December 2014,389453000.0,291731000.0,-35922000.0,,
March 2015,326263000.0,275607000.0,10369000.0,,
June 2015,320558000.0,275577000.0,47779000.0,,
September 2015,409392000.0,271301000.0,-27154000.0,,
December 2015,1505506000.0,263415000.0,-1057713000.0,,
March 2016,16500000.0,272918000.0,1637000.0,,
June 2016,350672000.0,305709000.0,24975000.0,,
September 2016,12300000.0,270494000.0,28433000.0,,
December 2016,28200000.0,250207000.0,-30089000.0,,
March 2017,17200000.0,259186000.0,1839000.0,,
June 2017,288231000.0,248343000.0,58471000.0,,
September 2017,282130000.0,243466000.0,36892000.0,,
December 2017,591789000.0,200836000.0,-499000.0,,
March 2018,15500000.0,251094000.0,13909000.0,,
June 2018,280916000.0,242255000.0,49238000.0,,
September 2018,40400000.0,233100000.0,13875000.0,,
December 2018,748230000.0,193349000.0,6218000.0,,
March 2019,290254000.0,231018000.0,7142000.0,,
June 2019,273137000.0,239973000.0,34266000.0,,
September 2019,262484000.0,228453000.0,-89590000.0,,
December 2019,22700000.0,212278000.0,-34094000.0,,
