,OperatingExpenses,Assets,AssetsCurrent
March 2010,3491000.0,,
June 2010,4460000.0,,
September 2010,4792000.0,,
December 2010,4977000.0,51006000.0,28910000.0
March 2011,6142000.0,,
June 2011,6620000.0,55945000.0,33312000.0
September 2011,5952000.0,57528000.0,35931000.0
December 2011,5165000.0,58687000.0,38408000.0
March 2012,6039000.0,56547000.0,35919000.0
June 2012,5903000.0,58712000.0,38346000.0
September 2012,5066000.0,59461000.0,39075000.0
December 2012,5360000.0,60967000.0,38029000.0
March 2013,6116000.0,60511000.0,37686000.0
June 2013,6471000.0,62246000.0,38625000.0
September 2013,6045000.0,66991000.0,42412000.0
December 2013,10832000.0,170977000.0,67287000.0
March 2014,12521000.0,171792000.0,72548000.0
June 2014,13083000.0,171401000.0,70723000.0
September 2014,12350000.0,173315000.0,76035000.0
December 2014,11322000.0,165640000.0,70784000.0
March 2015,11869000.0,163113000.0,70172000.0
June 2015,12252000.0,166820000.0,74570000.0
September 2015,11908000.0,169040000.0,78875000.0
December 2015,11813000.0,166086000.0,75495000.0
March 2016,13745000.0,186418000.0,72304000.0
June 2016,13650000.0,183754000.0,75310000.0
September 2016,12581000.0,181986000.0,74700000.0
December 2016,14145000.0,179919000.0,75805000.0
March 2017,13336000.0,182426000.0,78989000.0
June 2017,13894000.0,185398000.0,80683000.0
September 2017,14279000.0,193041000.0,87968000.0
December 2017,15370000.0,187922000.0,83440000.0
March 2018,16143000.0,214773000.0,100129000.0
June 2018,17285000.0,215190000.0,101284000.0
September 2018,16536000.0,222113000.0,104964000.0
December 2018,18210000.0,285301000.0,110894000.0
March 2019,20335000.0,312017000.0,120674000.0
June 2019,20814000.0,310550000.0,118883000.0
September 2019,21218000.0,308242000.0,120040000.0
December 2019,20774000.0,305828000.0,115643000.0
March 2020,21327000.0,343990000.0,140751000.0
June 2020,21409000.0,338499000.0,133766000.0
September 2020,21683000.0,343851000.0,139755000.0
December 2020,21162000.0,349197000.0,142214000.0
March 2021,23456000.0,359985000.0,149556000.0
June 2021,24483000.0,360458000.0,151766000.0
September 2021,23351000.0,363610000.0,157536000.0
December 2021,23740000.0,470785000.0,175957000.0
March 2022,29194000.0,494462000.0,193927000.0
June 2022,32256000.0,576115000.0,222310000.0
