,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2009,186000.0,1215750.0,1375250.0,
June 2009,186000.0,1215750.0,1375250.0,
September 2009,186000.0,1215750.0,1375250.0,
December 2009,186000.0,1215750.0,1375250.0,
March 2010,179250.0,3161500.0,1261500.0,
June 2010,179250.0,3161500.0,1261500.0,
September 2010,179250.0,2960000.0,2594000.0,
December 2010,179250.0,-4594000.0,1975000.0,990601000.0
March 2011,145000.0,1183000.0,1423000.0,
June 2011,201666.66666666666,1485000.0,2053000.0,
September 2011,201666.66666666666,1257000.0,1275000.0,1103227000.0
December 2011,201666.66666666666,1545000.0,983000.0,1139964000.0
March 2012,91000.0,1910000.0,2166000.0,1167100000.0
June 2012,,1729000.0,2623000.0,1176533000.0
September 2012,,1543000.0,1971000.0,1261256000.0
December 2012,,1383000.0,1860000.0,1211381000.0
March 2013,,1428000.0,1925000.0,1272960000.0
June 2013,,1740000.0,3014000.0,1264023000.0
September 2013,,1502000.0,2335000.0,1415290000.0
December 2013,,1680000.0,2594000.0,1283008000.0
March 2014,,1692000.0,2127000.0,1405120000.0
June 2014,,1745000.0,2047000.0,1479191000.0
September 2014,,1645000.0,2294000.0,1545506000.0
December 2014,,1458000.0,3092000.0,1465739000.0
March 2015,,1716000.0,2487000.0,1476651000.0
June 2015,,1739000.0,2666000.0,1518625000.0
September 2015,,,3070000.0,1574847000.0
December 2015,,,3067000.0,1544284000.0
March 2016,,,2919000.0,1670340000.0
June 2016,,,3406000.0,1721905000.0
September 2016,,,3612000.0,1835904000.0
December 2016,,,3616000.0,1921552000.0
March 2017,,,2285000.0,1906245000.0
June 2017,,,3269000.0,1967716000.0
September 2017,,,3180000.0,2016689000.0
December 2017,,,-190000.0,1965946000.0
March 2018,,,3628000.0,1952096000.0
June 2018,,,3897000.0,1908947000.0
September 2018,,,3274000.0,1934921000.0
December 2018,,,2040000.0,1891702000.0
March 2019,,,2902000.0,1924871000.0
June 2019,,,4360000.0,1941999000.0
September 2019,,,5047000.0,1951731000.0
December 2019,,,3842000.0,1953062000.0
March 2020,,,3245000.0,1993384000.0
June 2020,,,2757000.0,2298850000.0
September 2020,,,2514000.0,2374608000.0
December 2020,,,3976000.0,2352361000.0
March 2021,,,3295000.0,2408577000.0
June 2021,,,5910000.0,2929856000.0
September 2021,,,5245000.0,3018386000.0
December 2021,,,6051000.0,2791588000.0
March 2022,,,3267000.0,2726843000.0
June 2022,,,3909000.0,2674847000.0
