,OperatingExpenses,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
June 2009,213718500.0,55944500.0,,
September 2009,213718500.0,55944500.0,,
December 2009,213718500.0,55944500.0,,
March 2010,213718500.0,55944500.0,,
June 2010,231635000.0,63620000.0,,
September 2010,226315000.0,63808000.0,,
December 2010,215714000.0,61152000.0,,
March 2011,161066000.0,37177000.0,,
June 2011,228589000.0,64164000.0,,
September 2011,211653000.0,58594000.0,,
December 2011,222849000.0,63863000.0,,
March 2012,229897000.0,47849000.0,,
June 2012,209639000.0,57956000.0,,
September 2012,207052000.0,56464000.0,,
December 2012,209086000.0,58690000.0,,
March 2013,255167000.0,53287000.0,,
June 2013,228842000.0,62106000.0,,
September 2013,217242000.0,61844000.0,,
December 2013,206243000.0,56120000.0,,
March 2014,369838000.0,54620000.0,,
June 2014,216396000.0,57706000.0,,
September 2014,217892000.0,59858000.0,,
December 2014,214022000.0,55485000.0,,
March 2015,222815000.0,50808000.0,,
June 2015,217277000.0,56400000.0,,
September 2015,176803000.0,45220000.0,,
December 2015,173406000.0,44810000.0,,
March 2016,287959000.0,73649000.0,,
June 2016,212981000.0,55958000.0,,
September 2016,177229000.0,44169000.0,,
December 2016,169595000.0,43741000.0,,
