,OperatingExpenses,Assets
March 2012,2392970.25,
June 2012,2392970.25,
September 2012,2392970.25,
December 2012,2392970.25,
March 2013,2272869.0,2541494000.0
June 2013,2736255.0,2498264000.0
September 2013,5870491.0,2506168000.0
December 2013,4057873.0,3489063267.0
March 2014,3041301.0,3490246848.0
June 2014,3664000.0,3824083991.0
September 2014,6190467.0,4673793182.0
December 2014,12501904.0,5814235000.0
March 2015,8803000.0,5844584000.0
June 2015,6734000.0,5718550000.0
September 2015,4951000.0,5829961000.0
December 2015,4615000.0,5895212000.0
March 2016,6295000.0,5655295000.0
June 2016,4713000.0,5987373000.0
September 2016,4391000.0,6215816000.0
December 2016,5153000.0,5578337000.0
March 2017,5479000.0,5941622000.0
June 2017,5829000.0,6218124000.0
September 2017,4790000.0,6412040000.0
December 2017,5323000.0,6025615000.0
March 2018,5548000.0,6231294000.0
June 2018,5597000.0,6389414000.0
September 2018,5464000.0,6425745000.0
December 2018,5087000.0,6272872000.0
March 2019,5403000.0,6525419000.0
June 2019,6012000.0,6406775000.0
September 2019,5314000.0,6619874000.0
December 2019,5866000.0,6669152000.0
March 2020,5794000.0,7331872000.0
June 2020,6224000.0,6609550000.0
September 2020,3938000.0,6359463000.0
December 2020,20294000.0,5881229000.0
March 2021,4241000.0,5405811000.0
June 2021,4216000.0,5616809000.0
September 2021,4418000.0,5416040000.0
December 2021,4797000.0,5851252000.0
March 2022,5508000.0,5974197000.0
June 2022,4651000.0,5843009000.0
