,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
September 2009,242952750.0,1462250.0,,,
December 2009,242952750.0,1462250.0,,,
March 2010,242952750.0,1462250.0,,,
June 2010,242952750.0,1462250.0,,,
September 2010,247763000.0,6747000.0,,,
December 2010,219243000.0,-5094000.0,,,
March 2011,246214000.0,1489000.0,,,
June 2011,281054000.0,12965000.0,,,
September 2011,296503000.0,12966000.0,,,
December 2011,260042000.0,3485000.0,,,
March 2012,283903000.0,9645000.0,,,
June 2012,295218000.0,13282000.0,,,
September 2012,301201000.0,11861000.0,,,
December 2012,361162000.0,1463000.0,,,
March 2013,420400000.0,7199000.0,,,
June 2013,448905000.0,14666000.0,,,
September 2013,476746000.0,18660000.0,,,
December 2013,389350000.0,-3067000.0,,,
March 2014,412240000.0,7895000.0,,,
June 2014,451339000.0,16489000.0,,,
September 2014,471094000.0,20807000.0,,,
December 2014,420508000.0,9432000.0,,,
March 2015,456931000.0,20258000.0,,,
June 2015,519461000.0,33827000.0,,,
September 2015,585891000.0,30824000.0,,,
December 2015,527202000.0,15473000.0,,,
March 2016,,33083000.0,,,
June 2016,,49360000.0,,,
September 2016,,51050000.0,,,
December 2016,,23663000.0,,,
March 2017,,38796000.0,,,
June 2017,,43708000.0,,,
September 2017,,28776000.0,,,
December 2017,,40059000.0,,,
March 2018,,17231000.0,,,
June 2018,,29900000.0,,,
September 2018,,27830000.0,,,
December 2018,,-12054000.0,,,
March 2019,,14279000.0,,,
June 2019,,29896000.0,,,
September 2019,,24229000.0,,,
December 2019,,-11189000.0,,,
March 2020,,-32418000.0,,,
June 2020,,37024000.0,,,
September 2020,,33926000.0,,,
December 2020,,-4195000.0,,,
March 2021,,898000.0,,,
June 2021,,18165000.0,,,
September 2021,,28717000.0,,,
December 2021,,794000.0,,,
March 2022,,19536000.0,,,
June 2022,,43856000.0,,,
