,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
June 2009,5788.0,-5788.0,,
September 2009,5788.0,-5788.0,,
December 2009,5788.0,-5788.0,,
March 2010,5788.0,-5788.0,,
June 2010,5160.0,-5160.0,,
September 2010,3800.0,-3789.0,,
December 2010,3800.0,-3800.0,,
March 2011,7282.0,-7282.0,,
June 2011,7211.0,-7211.0,,
September 2011,7963.0,-7963.0,,
December 2011,5714.0,-5714.0,,
March 2012,21299.0,-21299.0,,
June 2012,4150.0,-4150.0,,
September 2012,-3950.0,-3950.0,,
December 2012,8349.0,-8349.0,,
March 2013,14850.0,-6950.0,,
June 2013,20570.0,-20570.0,,
September 2013,10250.0,-10250.0,,
December 2013,6750.0,-6750.0,,
