,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2007,,77250000.0,143250000.0,,,
June 2007,,77250000.0,143250000.0,,,
September 2007,,77250000.0,143250000.0,,,
December 2007,,77250000.0,143250000.0,,,
March 2008,,79000000.0,88000000.0,,,
June 2008,,79000000.0,88000000.0,,,
September 2008,,75000000.0,778000000.0,,,
December 2008,,86000000.0,271000000.0,24808000000.0,8492000000.0,
March 2009,,95000000.0,198000000.0,,,
June 2009,,119000000.0,433000000.0,,,
September 2009,,182000000.0,278000000.0,25954000000.0,8211000000.0,
December 2009,,154000000.0,33000000.0,23378000000.0,6208000000.0,
March 2010,,130000000.0,-260000000.0,24578000000.0,7142000000.0,
June 2010,,139000000.0,211000000.0,,,
September 2010,,172000000.0,223000000.0,27419000000.0,8496000000.0,
December 2010,,157000000.0,-15000000.0,26896000000.0,7137000000.0,
March 2011,,143000000.0,-260000000.0,25043000000.0,6378000000.0,
June 2011,,167000000.0,621000000.0,25336000000.0,6039000000.0,
September 2011,,169000000.0,-55000000.0,24760000000.0,6338000000.0,
December 2011,,107000000.0,-109000000.0,26715000000.0,7597000000.0,
March 2012,17000000.0,221000000.0,-207000000.0,28530000000.0,8458000000.0,
June 2012,17000000.0,207000000.0,251000000.0,27856000000.0,7255000000.0,
September 2012,17000000.0,224000000.0,-1000000.0,27220000000.0,6383000000.0,
December 2012,17000000.0,240000000.0,252000000.0,35128000000.0,7956000000.0,
March 2013,18000000.0,229000000.0,-328000000.0,35371000000.0,8031000000.0,
June 2013,21000000.0,230000000.0,130000000.0,34492000000.0,6943000000.0,
September 2013,24000000.0,229000000.0,119000000.0,34863000000.0,7249000000.0,
December 2013,21000000.0,216000000.0,-297000000.0,33902000000.0,7596000000.0,6455000000.0
March 2014,19000000.0,222000000.0,-56000000.0,34961000000.0,8383000000.0,
June 2014,21000000.0,268000000.0,-97000000.0,37629000000.0,7757000000.0,
September 2014,22000000.0,258000000.0,168000000.0,40069000000.0,7872000000.0,10016000000.0
December 2014,29000000.0,279000000.0,119000000.0,40665000000.0,8582000000.0,9691000000.0
March 2015,34000000.0,265000000.0,-120000000.0,40330000000.0,8122000000.0,9932000000.0
June 2015,37000000.0,291000000.0,-14000000.0,40365000000.0,8010000000.0,10051000000.0
September 2015,38000000.0,332000000.0,66000000.0,39988000000.0,8073000000.0,9930000000.0
December 2015,45000000.0,311000000.0,-6314000000.0,32882000000.0,7391000000.0,6759000000.0
March 2016,26000000.0,255000000.0,82000000.0,32680000000.0,7346000000.0,6571000000.0
June 2016,18000000.0,265000000.0,-271000000.0,31422000000.0,6364000000.0,6676000000.0
September 2016,21000000.0,277000000.0,402000000.0,31491000000.0,7014000000.0,6274000000.0
December 2016,24000000.0,235000000.0,-987000000.0,30682000000.0,6714000000.0,6048000000.0
March 2017,17000000.0,272000000.0,-163000000.0,29420000000.0,5440000000.0,6038000000.0
June 2017,18000000.0,223000000.0,-626000000.0,25205000000.0,4469000000.0,5434000000.0
September 2017,6000000.0,213000000.0,171000000.0,25470000000.0,4760000000.0,5378000000.0
December 2017,26000000.0,128000000.0,-1535000000.0,23318000000.0,4415000000.0,4995000000.0
March 2018,5000000.0,191000000.0,279000000.0,23752000000.0,4557000000.0,5284000000.0
June 2018,3000000.0,211000000.0,72000000.0,22947000000.0,4753000000.0,5420000000.0
September 2018,1000000.0,211000000.0,-72000000.0,11450000000.0,4285000000.0,3566000000.0
December 2018,2000000.0,186000000.0,-11000000.0,10628000000.0,3600000000.0,3980000000.0
March 2019,2000000.0,194000000.0,482000000.0,9530000000.0,3458000000.0,3422000000.0
June 2019,2000000.0,211000000.0,201000000.0,9171000000.0,3045000000.0,3516000000.0
September 2019,1000000.0,210000000.0,372000000.0,9527000000.0,3187000000.0,3725000000.0
December 2019,2000000.0,212000000.0,3383000000.0,12531000000.0,3088000000.0,
March 2020,3000000.0,190000000.0,121000000.0,12822000000.0,3479000000.0,
June 2020,2000000.0,186000000.0,313000000.0,12337000000.0,3076000000.0,
September 2020,1000000.0,253000000.0,249000000.0,12225000000.0,3087000000.0,
December 2020,2000000.0,304000000.0,-173000000.0,14902000000.0,6028000000.0,
March 2021,,337000000.0,-82000000.0,19241000000.0,6552000000.0,
June 2021,,308000000.0,1078000000.0,21619000000.0,8624000000.0,
September 2021,,318000000.0,1618000000.0,27965000000.0,14572000000.0,
December 2021,,330000000.0,-427000000.0,23182000000.0,10841000000.0,
March 2022,,322000000.0,1736000000.0,29477000000.0,16837000000.0,
June 2022,,325000000.0,513000000.0,34335000000.0,21148000000.0,
