,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets
March 2009,938750.0,1255250.0,
June 2009,938750.0,1255250.0,
September 2009,938750.0,1255250.0,
December 2009,938750.0,1255250.0,
March 2010,1243000.0,26580000.0,
June 2010,1219000.0,13302000.0,
September 2010,1509000.0,6736000.0,
December 2010,2278000.0,54161000.0,349088000.0
March 2011,1868000.0,-1003000.0,336574000.0
June 2011,2117000.0,1825000.0,372132000.0
September 2011,2041000.0,8392000.0,374378000.0
December 2011,1803000.0,6046000.0,406236000.0
March 2012,2630000.0,2588000.0,414142000.0
June 2012,2465000.0,11080000.0,425476000.0
September 2012,2528000.0,14990000.0,427035000.0
December 2012,3788000.0,12679000.0,421872000.0
March 2013,3634000.0,2861000.0,432338000.0
June 2013,3659000.0,11816000.0,453770000.0
September 2013,3974000.0,1609000.0,447490000.0
December 2013,3504000.0,27829000.0,481145000.0
March 2014,3599000.0,579000.0,478246000.0
June 2014,3309000.0,13307000.0,538232000.0
September 2014,4560000.0,4858000.0,560939000.0
December 2014,4628000.0,20992000.0,621533000.0
March 2015,4542000.0,391000.0,675840000.0
June 2015,2347000.0,24350000.0,727118000.0
September 2015,2722000.0,8610000.0,713823000.0
December 2015,3119000.0,22493000.0,931020000.0
March 2016,3708000.0,9527000.0,879295000.0
June 2016,3435000.0,6016000.0,866737000.0
September 2016,4460000.0,2525000.0,859299000.0
December 2016,4712000.0,8945000.0,857334000.0
March 2017,4334000.0,75000.0,841489000.0
June 2017,5678000.0,-1712000.0,840389000.0
September 2017,4626000.0,-850000.0,846663000.0
December 2017,6217000.0,4831000.0,866612000.0
March 2018,3592000.0,8505000.0,878334000.0
June 2018,3922000.0,7625000.0,869512000.0
September 2018,4028000.0,5020000.0,873630000.0
December 2018,2186000.0,1694000.0,873600000.0
March 2019,1136000.0,8265000.0,893219000.0
June 2019,1222000.0,11397000.0,875888000.0
September 2019,1359000.0,9033000.0,869989000.0
December 2019,1486000.0,18171000.0,889069000.0
March 2020,2200000.0,-49354000.0,1102326000.0
June 2020,1232000.0,-25967000.0,1061465000.0
September 2020,1130000.0,-47209000.0,1007542000.0
December 2020,1056000.0,-21245000.0,997750000.0
March 2021,1471000.0,-14840000.0,942363000.0
June 2021,2200000.0,-9211000.0,881890000.0
September 2021,2025000.0,-8378000.0,871161000.0
December 2021,1248000.0,10100000.0,883247000.0
March 2022,1196000.0,-13609000.0,852048000.0
June 2022,1356000.0,2851000.0,801824000.0
