,OperatingExpenses,Assets
March 2009,2217914.5,
June 2009,2217914.5,
September 2009,2217914.5,
December 2009,2217914.5,
March 2010,2217325.0,
June 2010,2316934.0,
September 2010,2216350.0,
December 2010,2116909.0,642636484.0
March 2011,2216897.0,
June 2011,2119445.0,611862797.0
September 2011,2255923.0,570890835.0
December 2011,2043021.0,548994309.0
March 2012,2086376.0,548072000.0
June 2012,2047420.0,519559778.0
September 2012,1818440.0,453854785.0
December 2012,1674811.0,407674216.0
March 2013,1572233.0,388786260.0
June 2013,1423612.0,362648458.0
September 2013,1358530.0,337229234.0
December 2013,1103684.0,323545054.0
