,NetIncomeLoss,Assets
March 2016,928750.0,
June 2016,928750.0,
September 2016,928750.0,
December 2016,928750.0,
March 2017,219000.0,
June 2017,2009000.0,
September 2017,2002000.0,
December 2017,523000.0,1030298000.0
March 2018,2013000.0,
June 2018,2681000.0,1076676000.0
September 2018,2771000.0,1102211000.0
December 2018,2513000.0,1476621000.0
March 2019,3810000.0,1477184000.0
June 2019,5827000.0,1898460000.0
September 2019,5330000.0,1959784000.0
December 2019,6169000.0,2384622000.0
March 2020,4074000.0,2544497000.0
June 2020,7694000.0,2963018000.0
September 2020,7088000.0,2925070000.0
December 2020,12455000.0,3084759000.0
March 2021,10086000.0,3170212000.0
June 2021,12410000.0,3084755000.0
September 2021,10456000.0,3154252000.0
December 2021,9100000.0,3266038000.0
