,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,3527250.0,40651000.0,31653500.0,,
June 2009,3527250.0,40651000.0,31653500.0,,
September 2009,3527250.0,40651000.0,31653500.0,,
December 2009,3527250.0,40651000.0,31653500.0,,
March 2010,3717500.0,37514000.0,55375000.0,,
June 2010,3717500.0,42638000.0,58404000.0,,
September 2010,3717500.0,40982000.0,62880000.0,,
December 2010,3717500.0,45240000.0,65893000.0,1217090000.0,240435000.0
March 2011,3848250.0,49256000.0,65876000.0,1286431000.0,311698000.0
June 2011,3848250.0,55909000.0,65577000.0,1408089000.0,295477000.0
September 2011,3848250.0,51475000.0,70987000.0,1379933000.0,271764000.0
December 2011,3848250.0,42855000.0,80318000.0,1541106000.0,453654000.0
March 2012,4596500.0,53979000.0,74601000.0,1892043000.0,419840000.0
June 2012,4596500.0,62473000.0,73331000.0,1853343000.0,397495000.0
September 2012,4596500.0,58707000.0,82911000.0,2303433000.0,361337000.0
December 2012,4596500.0,56200000.0,98299000.0,2360336000.0,390559000.0
March 2013,5356500.0,59028000.0,80511000.0,2516347000.0,552543000.0
June 2013,5356500.0,58198000.0,84205000.0,2439351000.0,493609000.0
September 2013,5356500.0,59330000.0,96441000.0,2429872000.0,461330000.0
December 2013,5356500.0,52426000.0,87223000.0,2504451000.0,474845000.0
March 2014,6377000.0,57134000.0,115558000.0,2640004000.0,679204000.0
June 2014,6377000.0,57074000.0,88099000.0,2675277000.0,704563000.0
September 2014,6377000.0,56164000.0,99015000.0,2677700000.0,705652000.0
December 2014,6377000.0,56934000.0,97370000.0,2345330000.0,384483000.0
March 2015,5150000.0,58306000.0,98686000.0,2404499000.0,453993000.0
June 2015,5150000.0,91292000.0,163320000.0,5775663000.0,609987000.0
September 2015,5150000.0,79310000.0,131814000.0,5619097000.0,617762000.0
December 2015,5150000.0,49392000.0,113780000.0,5615927000.0,604569000.0
March 2016,6850000.0,71000000.0,92639000.0,5459147000.0,586783000.0
June 2016,6850000.0,75557000.0,261736000.0,4725063000.0,496917000.0
September 2016,6850000.0,77814000.0,127600000.0,4685051000.0,464301000.0
December 2016,6850000.0,77229000.0,109225000.0,4631200000.0,500900000.0
March 2017,9350000.0,75900000.0,108800000.0,4748700000.0,513800000.0
June 2017,9350000.0,78800000.0,121000000.0,4898700000.0,522800000.0
September 2017,9350000.0,80900000.0,120700000.0,5628200000.0,544700000.0
December 2017,9350000.0,87200000.0,204600000.0,6020300000.0,597600000.0
March 2018,11900000.0,91800000.0,133000000.0,6246900000.0,708600000.0
June 2018,11900000.0,93000000.0,153500000.0,6039600000.0,625100000.0
September 2018,11900000.0,95700000.0,166000000.0,5851100000.0,593700000.0
December 2018,11900000.0,98200000.0,146200000.0,5900300000.0,644500000.0
March 2019,16400000.0,111400000.0,134400000.0,6341100000.0,734900000.0
June 2019,16400000.0,112300000.0,150400000.0,6234000000.0,710300000.0
September 2019,16400000.0,255000000.0,32900000.0,6289100000.0,831000000.0
December 2019,16400000.0,124800000.0,132200000.0,7055200000.0,744900000.0
March 2020,12225000.0,112100000.0,171700000.0,6928100000.0,814000000.0
June 2020,12225000.0,96400000.0,179000000.0,7007900000.0,878700000.0
September 2020,12225000.0,96400000.0,185800000.0,7219600000.0,799700000.0
December 2020,12225000.0,109000000.0,176200000.0,7561800000.0,794200000.0
March 2021,12300000.0,119800000.0,168600000.0,7810500000.0,1041600000.0
June 2021,12300000.0,111400000.0,154000000.0,7713600000.0,918700000.0
September 2021,12300000.0,115100000.0,201700000.0,7662500000.0,934100000.0
December 2021,12300000.0,76400000.0,141900000.0,7808100000.0,902600000.0
