,OperatingExpenses,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
March 2009,37271000.0,12110750.0,,
June 2009,37271000.0,12110750.0,,
September 2009,37271000.0,12110750.0,,
December 2009,37271000.0,12110750.0,,
March 2010,38816000.0,12061000.0,,
June 2010,40913000.0,13107000.0,,
September 2010,39082000.0,13069000.0,,
December 2010,41575000.0,13179000.0,490826000.0,236205000.0
March 2011,40256000.0,12642000.0,,
June 2011,42514000.0,14467000.0,527541000.0,173113000.0
September 2011,43155000.0,14387000.0,501582000.0,150184000.0
December 2011,46986000.0,16065000.0,583556000.0,237512000.0
March 2012,45974000.0,16799000.0,585047000.0,243601000.0
June 2012,46332000.0,16501000.0,565960000.0,229486000.0
September 2012,44732000.0,17077000.0,564928000.0,236838000.0
December 2012,49886000.0,16637000.0,658453000.0,275368000.0
March 2013,47798000.0,16962000.0,658115000.0,285932000.0
June 2013,71576000.0,17923000.0,824570000.0,503214000.0
September 2013,47605000.0,17369000.0,454896000.0,147828000.0
December 2013,50127000.0,17464000.0,456294000.0,147657000.0
March 2014,49009000.0,17639000.0,452214000.0,148153000.0
June 2014,48826000.0,17204000.0,452225000.0,150929000.0
September 2014,48854000.0,16962000.0,432882000.0,141593000.0
December 2014,48868000.0,17727000.0,434869000.0,151211000.0
March 2015,62563000.0,19557000.0,424826000.0,151731000.0
