,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,91575000.0,,,,
June 2009,91575000.0,,,,
September 2009,91575000.0,,,,
December 2009,91575000.0,,,,
March 2010,95000000.0,8100000.0,,,
June 2010,90800000.0,28600000.0,,,
September 2010,90400000.0,25600000.0,,,
December 2010,99000000.0,,4525000000.0,1254700000.0,2589800000.0
March 2011,102700000.0,39800000.0,,,
June 2011,98900000.0,-14300000.0,4649100000.0,1412700000.0,2554600000.0
September 2011,80400000.0,32200000.0,4611600000.0,1410100000.0,2525200000.0
December 2011,106900000.0,14500000.0,4779100000.0,1373200000.0,2719200000.0
March 2012,114100000.0,26000000.0,4854600000.0,1476000000.0,2694600000.0
June 2012,103500000.0,23900000.0,4868600000.0,1514900000.0,2669500000.0
September 2012,102300000.0,19200000.0,4926000000.0,1587700000.0,2649500000.0
December 2012,99200000.0,22900000.0,4922300000.0,1581400000.0,2640200000.0
March 2013,100800000.0,29100000.0,5239900000.0,1914700000.0,2630200000.0
June 2013,112200000.0,33400000.0,5117100000.0,1756800000.0,2668300000.0
September 2013,120300000.0,22800000.0,5122000000.0,1782700000.0,2640100000.0
December 2013,156700000.0,-17600000.0,5127200000.0,1791500000.0,2631900000.0
March 2014,126800000.0,20700000.0,5235000000.0,1954100000.0,2587300000.0
June 2014,114300000.0,50800000.0,5278900000.0,1994100000.0,2568300000.0
September 2014,116500000.0,47500000.0,5370400000.0,2082900000.0,2572400000.0
December 2014,113800000.0,50300000.0,5351500000.0,2074900000.0,2548700000.0
March 2015,121500000.0,54500000.0,5476400000.0,2217200000.0,2530800000.0
June 2015,123500000.0,59500000.0,5755200000.0,2381200000.0,2623700000.0
September 2015,128500000.0,52300000.0,5726500000.0,2384300000.0,2595100000.0
December 2015,128500000.0,48300000.0,5771500000.0,2446100000.0,2578800000.0
March 2016,141100000.0,60700000.0,6490100000.0,3179900000.0,2539600000.0
June 2016,146900000.0,61800000.0,6568400000.0,2911700000.0,2848400000.0
September 2016,146300000.0,54400000.0,6586400000.0,2934300000.0,2824400000.0
December 2016,148800000.0,45500000.0,6557600000.0,2841200000.0,2873900000.0
March 2017,157400000.0,69200000.0,6580200000.0,2887600000.0,2855100000.0
June 2017,154600000.0,57200000.0,6856700000.0,3136100000.0,2879300000.0
September 2017,155700000.0,62800000.0,6905600000.0,3174100000.0,2861000000.0
December 2017,172500000.0,172800000.0,6984300000.0,3137400000.0,2938700000.0
March 2018,187400000.0,90000000.0,7266200000.0,3411100000.0,2945500000.0
June 2018,149900000.0,93200000.0,7194100000.0,3361300000.0,2928300000.0
September 2018,186000000.0,77500000.0,7300600000.0,3471600000.0,2917000000.0
December 2018,176600000.0,67300000.0,7206200000.0,3314200000.0,2915800000.0
March 2019,175200000.0,77800000.0,8324100000.0,3460200000.0,4035600000.0
June 2019,163200000.0,55600000.0,6377800000.0,3048900000.0,2733900000.0
September 2019,158900000.0,35300000.0,6579700000.0,3257700000.0,2718900000.0
December 2019,164700000.0,19800000.0,6581200000.0,3244500000.0,2727700000.0
March 2020,162400000.0,2800000.0,5999700000.0,2712900000.0,3286800000.0
June 2020,112300000.0,-32300000.0,6494000000.0,3251100000.0,3242900000.0
September 2020,131000000.0,47100000.0,6909900000.0,3674600000.0,3235300000.0
December 2020,139700000.0,-17100000.0,6798200000.0,3175200000.0,3623000000.0
March 2021,107300000.0,50900000.0,7160200000.0,3525500000.0,3634700000.0
June 2021,140200000.0,11500000.0,7118300000.0,3414600000.0,3703700000.0
September 2021,134100000.0,-1000000.0,7170200000.0,3528200000.0,3642000000.0
December 2021,134800000.0,5100000.0,7417200000.0,3358300000.0,4058900000.0
March 2022,118900000.0,-300000.0,7792400000.0,5505000000.0,2287400000.0
June 2022,124100000.0,210200000.0,6126000000.0,3996500000.0,2129500000.0
