,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
June 2010,19466000.0,5476000.0,-7059000.0,,
September 2010,14273000.0,3668000.0,-10835000.0,,
December 2010,11939000.0,2787000.0,-4080000.0,,
March 2011,4480000.0,-154000.0,-7262000.0,307488000.0,52805000.0
June 2011,21243000.0,5200000.0,-6393000.0,300901000.0,49626000.0
September 2011,14749000.0,4071000.0,-228000.0,307743000.0,60400000.0
December 2011,16391000.0,4303000.0,-10640000.0,298602000.0,63067000.0
March 2012,16219000.0,3933000.0,-5779000.0,290137000.0,63393000.0
June 2012,18964000.0,5893000.0,-5152000.0,303630000.0,67180000.0
September 2012,19031000.0,6306000.0,-2611000.0,300044000.0,70605000.0
December 2012,19438000.0,6265000.0,-1784000.0,294882000.0,73767000.0
March 2013,18483000.0,4659000.0,-11519000.0,284058000.0,62802000.0
June 2013,21404000.0,7123000.0,-6988000.0,275785000.0,64360000.0
September 2013,18610000.0,4104000.0,-5167000.0,264027000.0,63022000.0
December 2013,32588000.0,6949000.0,-10382000.0,322242000.0,111508000.0
March 2014,27037000.0,7590000.0,-3327000.0,357249000.0,124474000.0
June 2014,28514000.0,7709000.0,-10663000.0,303386000.0,90733000.0
September 2014,23365000.0,8304000.0,-7344000.0,329784000.0,129764000.0
December 2014,28143000.0,7484000.0,-2275000.0,317146000.0,128014000.0
March 2015,34304000.0,8327000.0,-11026000.0,273017000.0,106943000.0
June 2015,28196000.0,9616000.0,-11319000.0,277008000.0,112181000.0
September 2015,45642000.0,9509000.0,-22333000.0,238906000.0,109578000.0
December 2015,27364000.0,7610000.0,-2463000.0,242205000.0,124109000.0
March 2016,24393000.0,7430000.0,-41742000.0,209398000.0,101845000.0
June 2016,22200000.0,6432000.0,-4554000.0,191640000.0,93168000.0
September 2016,19388000.0,5239000.0,-468000.0,176233000.0,90257000.0
December 2016,21486000.0,6095000.0,-463000.0,177116000.0,106373000.0
March 2017,83637000.0,23776000.0,-15129000.0,151334000.0,86450000.0
June 2017,16136000.0,6318000.0,-5146000.0,128210000.0,68381000.0
September 2017,16277000.0,6247000.0,-7454000.0,108651000.0,53977000.0
December 2017,19861000.0,9259000.0,-5909000.0,122227000.0,71532000.0
March 2018,14686000.0,6630000.0,55000.0,121182000.0,74168000.0
June 2018,13517000.0,6543000.0,-3267000.0,108060000.0,64346000.0
September 2018,14641000.0,6487000.0,-3479000.0,99308000.0,58430000.0
December 2018,15255000.0,6425000.0,-3258000.0,105814000.0,68009000.0
March 2019,15739000.0,8206000.0,-6229000.0,98839000.0,64879000.0
June 2019,12500000.0,5849000.0,-5033000.0,98202000.0,64705000.0
September 2019,11334000.0,4988000.0,-3095000.0,92483000.0,61541000.0
December 2019,10901000.0,2997000.0,-2169000.0,95711000.0,67114000.0
March 2020,8903000.0,2508000.0,-4437000.0,110440000.0,61062000.0
June 2020,8633000.0,3840000.0,-19856000.0,111096000.0,53433000.0
September 2020,12241000.0,6168000.0,-26543000.0,86802000.0,51598000.0
December 2020,11235000.0,5361000.0,-9644000.0,91689000.0,61985000.0
March 2021,12783000.0,6623000.0,-6777000.0,75446000.0,43142000.0
June 2021,12241000.0,6043000.0,5187000.0,80637000.0,45150000.0
September 2021,11517000.0,7159000.0,-184000.0,83901000.0,42602000.0
December 2021,14848000.0,7736000.0,-408000.0,99554000.0,58691000.0
March 2022,18373000.0,8613000.0,-2324000.0,104636000.0,52163000.0
June 2022,18174000.0,9815000.0,,94223000.0,44081000.0
