,SellingGeneralAndAdministrativeExpense,Assets
March 2009,2008000.0,
June 2009,2127000.0,
September 2009,2243000.0,
December 2009,-1926000.0,1155766000.0
March 2010,2171000.0,
June 2010,2559000.0,1186901000.0
September 2010,2074000.0,1189197000.0
December 2010,-405000.0,1238735000.0
March 2011,2368000.0,1366902000.0
June 2011,1602000.0,1303764000.0
September 2011,2414000.0,1345784000.0
December 2011,471000.0,1408661000.0
March 2012,2077000.0,1438528000.0
June 2012,2236000.0,1430363000.0
September 2012,3141000.0,1395934000.0
December 2012,2462000.0,1526068000.0
March 2013,2532000.0,1512702000.0
June 2013,3204000.0,1710051000.0
September 2013,3477000.0,2076629000.0
December 2013,2698000.0,2044034000.0
March 2014,3272000.0,2025675000.0
June 2014,3148000.0,1988597000.0
September 2014,3071000.0,1967317000.0
December 2014,3492000.0,1936390000.0
March 2015,3691000.0,1889412000.0
June 2015,3401000.0,1940101000.0
September 2015,3071000.0,1926380000.0
December 2015,3128000.0,1919015000.0
March 2016,3530000.0,1861385000.0
June 2016,3494000.0,1895417000.0
September 2016,3419000.0,1940445000.0
December 2016,,2088133000.0
March 2017,3443000.0,2078286000.0
June 2017,3077000.0,2042567000.0
September 2017,3286000.0,2031685000.0
December 2017,,1990512000.0
March 2018,,1986195000.0
June 2018,,1979527000.0
September 2018,,1908559000.0
December 2018,,1898102000.0
March 2019,,1891245000.0
June 2019,,1843342000.0
September 2019,,1843150000.0
December 2019,,1842654000.0
March 2020,,1847627000.0
June 2020,,1835435000.0
September 2020,,1840021000.0
December 2020,,1793184000.0
March 2021,,1789433000.0
June 2021,,1600615000.0
September 2021,,1506529000.0
December 2021,,1364173000.0
March 2022,,1337120000.0
June 2022,,1331719000.0
