,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
December 2010,21938000.0,646036000.0,139573000.0
March 2011,30136000.0,,
June 2011,30382000.0,648677000.0,132985000.0
September 2011,28066000.0,649268000.0,132030000.0
December 2011,31806000.0,661772000.0,134199000.0
March 2012,29026000.0,647378000.0,114103000.0
June 2012,26994000.0,656532000.0,117465000.0
September 2012,26547000.0,661264000.0,121324000.0
December 2012,25941000.0,785092000.0,125496000.0
March 2013,28379000.0,773935000.0,114597000.0
June 2013,28516000.0,774020000.0,118141000.0
September 2013,27965000.0,789007000.0,111075000.0
December 2013,30015000.0,778015000.0,114732000.0
March 2014,29266000.0,765115000.0,95437000.0
June 2014,28720000.0,772584000.0,94389000.0
September 2014,28294000.0,775504000.0,91182000.0
December 2014,29694000.0,796724000.0,88963000.0
March 2015,29732000.0,792227000.0,83128000.0
June 2015,29767000.0,796112000.0,87536000.0
September 2015,33146000.0,799600000.0,86750000.0
December 2015,31153000.0,799695000.0,77717000.0
March 2016,29865000.0,794369000.0,69677000.0
June 2016,29554000.0,802600000.0,72642000.0
September 2016,29206000.0,801687000.0,65364000.0
December 2016,29795000.0,803921000.0,68610000.0
March 2017,29632000.0,794316000.0,60866000.0
June 2017,26608000.0,810504000.0,74201000.0
September 2017,29827000.0,743365000.0,89535000.0
December 2017,28826000.0,739506000.0,86025000.0
March 2018,27625000.0,714343000.0,57941000.0
