,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,559964.0,124306.0,,,
June 2010,681868.0,19772.0,,,
September 2010,603474.0,81182.0,,,
December 2010,693884.0,21316.0,8594670.0,6267282.0,
March 2011,556590.0,59237.0,,,
June 2011,545226.0,-2536470.0,5735212.0,5661263.0,
September 2011,517925.0,79398.0,5396368.0,5336555.0,
December 2011,646576.0,-98749.0,5243503.0,5110689.0,
March 2012,557641.0,67145.0,5592458.0,5464359.0,
June 2012,1224611.0,954621.0,,,
September 2012,1714322.0,-189826.0,,,
December 2012,1485299.0,-81287.0,18383487.0,17261234.0,
March 2013,1595195.0,51373.0,18458392.0,17343253.0,
June 2013,1608546.0,23617.0,,,
September 2013,1505323.0,-51770.0,16687645.0,15650671.0,
December 2013,1096221.0,-4465419.0,11698705.0,11137913.0,
March 2014,1511891.0,18923.0,12394267.0,12338210.0,
June 2014,1373445.0,-164540.0,12124153.0,12072994.0,
September 2014,1336122.0,-225631.0,12495442.0,12448589.0,
December 2014,1566235.0,-249577.0,11871222.0,11825859.0,
March 2015,1090133.0,110192.0,13165549.0,13127338.0,
June 2015,1106289.0,66255.0,13337935.0,13303254.0,
September 2015,1130568.0,-777195.0,12931638.0,12891060.0,
December 2015,1201476.0,-782101.0,12077155.0,12054116.0,
March 2016,319107.0,379935.0,12553893.0,12492553.0,
June 2016,433571.0,111707.0,12068641.0,11964765.0,
September 2016,395926.0,141900.0,11250201.0,11086505.0,
December 2016,329314.0,-382965.0,11345543.0,11151630.0,51746.0
March 2017,439576.0,-79693.0,11213138.0,11037754.0,39406.0
June 2017,733804.0,3665813.0,5893812.0,5836278.0,3382.0
September 2017,892207.0,106973.0,16313066.0,8070999.0,2043075.0
December 2017,1250250.0,-552320.0,16250261.0,7994562.0,2013993.0
March 2018,1175777.0,756668.0,17209225.0,9101960.0,1964244.0
June 2018,1098314.0,519581.0,17769609.0,9625799.0,1914495.0
September 2018,1156579.0,479542.0,18718480.0,10703189.0,1864743.0
December 2018,1046527.0,760512.0,18272239.0,9973376.0,2173680.0
March 2019,1440228.0,764102.0,19726460.0,11462898.0,2160687.0
June 2019,1419902.0,566696.0,21101927.0,12106156.0,
September 2019,1146685.0,31866.0,20617728.0,11729216.0,
December 2019,676915.0,322718.0,20575550.0,11492331.0,
March 2020,1379795.0,3196442.0,32953652.0,17337105.0,
