,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
September 2012,40968500.0,42170750.0,,
December 2012,40968500.0,42170750.0,,
March 2013,40968500.0,42170750.0,,
June 2013,40968500.0,42170750.0,,
September 2013,40691000.0,17778250.0,,
December 2013,40691000.0,17778250.0,,
March 2014,40691000.0,17778250.0,,
June 2014,40691000.0,17778250.0,,
September 2014,41272250.0,20512750.0,870464000.0,429742000.0
December 2014,41272250.0,20512750.0,,
March 2015,41272250.0,20512750.0,,
June 2015,41272250.0,20512750.0,,
