,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,12373750.0,-9034000.0,,
June 2009,12373750.0,-9034000.0,,
September 2009,12373750.0,-9034000.0,,
December 2009,12373750.0,-9034000.0,,
March 2010,12444000.0,-7532250.0,,
June 2010,12318000.0,-7532250.0,,
September 2010,11475000.0,-7532250.0,,
December 2010,10797000.0,-7532250.0,88866000.0,81814000.0
March 2011,11393000.0,-1466000.0,,
June 2011,12836000.0,-10804000.0,137512000.0,89706000.0
September 2011,11108000.0,-2260000.0,134498000.0,110914000.0
December 2011,9674000.0,3768000.0,117051000.0,72188000.0
March 2012,9303000.0,-4260000.0,106141000.0,69747000.0
June 2012,9271000.0,-885000.0,152259000.0,76361000.0
September 2012,8146000.0,-431000.0,144675000.0,83700000.0
December 2012,7246000.0,-5296000.0,134193000.0,79615000.0
March 2013,8181000.0,-5775000.0,123400000.0,87933000.0
June 2013,8082000.0,-6786000.0,114745000.0,81056000.0
September 2013,5955000.0,-6083000.0,105848000.0,82645000.0
December 2013,5337000.0,-5956000.0,98179000.0,75636000.0
March 2014,6731000.0,-7141000.0,88574000.0,72650000.0
June 2014,6236000.0,-6339000.0,80257000.0,64500000.0
September 2014,5014000.0,-6399000.0,71039000.0,63393000.0
December 2014,4290000.0,-3512000.0,63394000.0,61101000.0
March 2015,4413000.0,-4551000.0,55318000.0,55078000.0
June 2015,4327000.0,-4017000.0,49176000.0,48602000.0
September 2015,3180000.0,-2354000.0,44501000.0,43952000.0
December 2015,3641000.0,-2852000.0,40004000.0,39486000.0
March 2016,4198000.0,-4981000.0,48962000.0,48471000.0
June 2016,4337000.0,-5100000.0,44015000.0,43535000.0
September 2016,5265000.0,-5817000.0,38530000.0,38074000.0
December 2016,6242000.0,-6820000.0,32380000.0,31948000.0
March 2017,5194000.0,-7576000.0,38490000.0,38170000.0
June 2017,4983000.0,-7201000.0,31774000.0,31428000.0
September 2017,4570000.0,-6666000.0,28240000.0,27907000.0
December 2017,4721000.0,-7760000.0,48902000.0,48583000.0
March 2018,5812000.0,-6532000.0,45103000.0,44797000.0
June 2018,6787000.0,5156000.0,50181000.0,49887000.0
September 2018,7261000.0,-5619000.0,112549000.0,107358000.0
December 2018,8850000.0,-8487000.0,106676000.0,106403000.0
March 2019,7448000.0,-10267000.0,98473000.0,96890000.0
June 2019,6330000.0,-9092000.0,187193000.0,181999000.0
September 2019,8313000.0,-10739000.0,180342000.0,128039000.0
