,OperatingExpenses,Assets,AssetsCurrent
March 2012,1306250.0,,
June 2012,1306250.0,,
September 2012,1306250.0,,
December 2012,1306250.0,,
March 2013,2984000.0,,
June 2013,4300000.0,,
September 2013,5726000.0,,
December 2013,23539000.0,808337000.0,3032000.0
March 2014,20965000.0,,
June 2014,33653000.0,,
September 2014,19270000.0,1467965000.0,
December 2014,27567000.0,1816610000.0,267847000.0
March 2015,51923000.0,1394349000.0,181511000.0
June 2015,51333000.0,1809807000.0,131751000.0
September 2015,37012000.0,1882791000.0,60424000.0
December 2015,79793000.0,1980032000.0,75302000.0
March 2016,89452000.0,2027446000.0,79551000.0
June 2016,83503000.0,2152870000.0,64843000.0
September 2016,76192000.0,2216287000.0,68915000.0
December 2016,82953000.0,2349895000.0,79950000.0
March 2017,93073000.0,2571693000.0,73198000.0
June 2017,101199000.0,2761937000.0,98126000.0
September 2017,110458000.0,2895391000.0,88797000.0
December 2017,143089000.0,3042209000.0,120385000.0
March 2018,118051000.0,3136102000.0,122117000.0
June 2018,136145000.0,3296229000.0,146358000.0
September 2018,140159000.0,3414828000.0,133965000.0
December 2018,26597000.0,3546417000.0,138435000.0
