,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,,12117500.0,-3703750.0,,
June 2009,,12117500.0,-3703750.0,,
September 2009,,12117500.0,-3703750.0,,
December 2009,,12117500.0,-3703750.0,,
March 2010,2125000.0,14049000.0,-471000.0,,
June 2010,2125000.0,13533000.0,2083000.0,,
September 2010,2125000.0,12090000.0,1346000.0,,
December 2010,2125000.0,13218000.0,-319000.0,230738000.0,114881000.0
March 2011,2025000.0,13870000.0,2880000.0,,
June 2011,2025000.0,13477000.0,7727000.0,252239000.0,140860000.0
September 2011,2025000.0,12644000.0,1131000.0,242609000.0,136614000.0
December 2011,2025000.0,12946000.0,2668000.0,235185000.0,130820000.0
March 2012,1925000.0,14244000.0,3912000.0,247906000.0,143063000.0
June 2012,1925000.0,13655000.0,6592000.0,247030000.0,145001000.0
September 2012,1925000.0,14069000.0,3875000.0,251085000.0,150117000.0
December 2012,1925000.0,15271000.0,2427000.0,251916000.0,151801000.0
March 2013,1900000.0,14848000.0,4492000.0,258869000.0,161141000.0
June 2013,1900000.0,13516000.0,5955000.0,261393000.0,163360000.0
September 2013,1900000.0,13108000.0,4575000.0,272785000.0,172540000.0
December 2013,1900000.0,15040000.0,4133000.0,274685000.0,172261000.0
March 2014,2250000.0,18573000.0,3716000.0,366640000.0,217150000.0
June 2014,2250000.0,22080000.0,8240000.0,377565000.0,229483000.0
September 2014,2250000.0,22785000.0,4158000.0,375548000.0,229266000.0
December 2014,2250000.0,17492000.0,5733000.0,361770000.0,213306000.0
March 2015,2125000.0,17622000.0,18937000.0,366556000.0,228626000.0
June 2015,2125000.0,16860000.0,10817000.0,375120000.0,235915000.0
September 2015,2125000.0,16850000.0,11186000.0,383261000.0,244328000.0
December 2015,2125000.0,18688000.0,5319000.0,358260000.0,219303000.0
March 2016,2250000.0,18698000.0,9169000.0,362977000.0,221555000.0
June 2016,2250000.0,20468000.0,10813000.0,373423000.0,231297000.0
September 2016,2250000.0,19896000.0,12785000.0,488099000.0,262645000.0
December 2016,2250000.0,24688000.0,4420000.0,527029000.0,255606000.0
March 2017,2700000.0,25350000.0,11669000.0,538517000.0,267477000.0
June 2017,2700000.0,23290000.0,13125000.0,557763000.0,278978000.0
September 2017,2700000.0,24700000.0,10675000.0,565504000.0,282665000.0
December 2017,2700000.0,23819000.0,13848000.0,560871000.0,273495000.0
March 2018,2650000.0,25471000.0,11054000.0,586342000.0,300493000.0
June 2018,2650000.0,23878000.0,10450000.0,578774000.0,299846000.0
September 2018,2650000.0,25406000.0,6256000.0,903239000.0,342206000.0
December 2018,2650000.0,28299000.0,7184000.0,872686000.0,317078000.0
March 2019,2800000.0,33006000.0,3890000.0,911912000.0,334462000.0
June 2019,2800000.0,32096000.0,-6946000.0,896434000.0,317015000.0
September 2019,2800000.0,28909000.0,3004000.0,878887000.0,312817000.0
December 2019,2800000.0,32261000.0,-70461000.0,785937000.0,283597000.0
March 2020,2575000.0,33027000.0,-56421000.0,751260000.0,324822000.0
June 2020,2575000.0,30164000.0,-5857000.0,740533000.0,316768000.0
September 2020,2575000.0,32227000.0,-11710000.0,773638000.0,354923000.0
December 2020,2575000.0,34510000.0,263000.0,775462000.0,349392000.0
March 2021,,35633000.0,5094000.0,775377000.0,354478000.0
June 2021,,38182000.0,5780000.0,787900000.0,368905000.0
