,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
December 2007,66199500.0,29819750.0,,,
March 2008,66199500.0,29819750.0,,,
June 2008,66199500.0,29819750.0,,,
September 2008,66199500.0,29819750.0,,,
December 2008,78844500.0,29129000.0,,,
March 2009,78844500.0,29129000.0,,,
June 2009,62532000.0,19558000.0,,,
September 2009,40441000.0,40592000.0,1455910000.0,300049000.0,
December 2009,70677000.0,24248000.0,,,
March 2010,54742000.0,17680000.0,,,
June 2010,57031000.0,24242000.0,1375815000.0,262895000.0,
September 2010,60903000.0,4040000.0,1407092000.0,274922000.0,
December 2010,66885000.0,32401000.0,,,
March 2011,52619000.0,6802000.0,,,
June 2011,51344000.0,18745000.0,,,
September 2011,53607000.0,22652000.0,1432322000.0,254411000.0,
December 2011,65717000.0,11950000.0,,,
March 2012,54497000.0,21632000.0,,,
June 2012,52566000.0,11592000.0,,,
September 2012,52072000.0,12477000.0,1463725000.0,231181000.0,
December 2012,67336000.0,20689000.0,,,
March 2013,52972000.0,13290000.0,,,
June 2013,52078000.0,-5656000.0,1360418000.0,175429000.0,
September 2013,48255000.0,22828000.0,1319209000.0,117212000.0,
December 2013,59156000.0,32286000.0,,,
March 2014,48660000.0,15801000.0,,,
June 2014,47422000.0,24703000.0,1302489000.0,184401000.0,
September 2014,51550000.0,16160000.0,1270665000.0,146560000.0,
December 2014,63095000.0,35835000.0,,,
March 2015,52472000.0,23005000.0,,,
June 2015,50986000.0,26831000.0,1275614000.0,172716000.0,
September 2015,54592000.0,23141000.0,1303979000.0,107956000.0,
December 2015,65872000.0,33221000.0,,,
March 2016,46895000.0,28682000.0,,,
June 2016,42768000.0,30189000.0,1291514000.0,136253000.0,
September 2016,48281000.0,31981000.0,1348791000.0,155405000.0,
December 2016,55708000.0,35929000.0,,,
March 2017,35788000.0,33094000.0,,,
June 2017,28110000.0,36351000.0,,,
September 2017,46146000.0,29958000.0,1228421000.0,139277000.0,611191000.0
December 2017,34625000.0,12190000.0,,,
March 2018,27017000.0,47605000.0,,,
June 2018,20094000.0,45307000.0,,,
September 2018,23080000.0,16269000.0,823397000.0,94973000.0,308755000.0
December 2018,24083000.0,34098000.0,,,
March 2019,17585000.0,25089000.0,,,
June 2019,24389000.0,13189000.0,831270000.0,105997000.0,335335000.0
September 2019,10300000.0,22061000.0,958483000.0,227128000.0,339421000.0
December 2019,28248000.0,7897000.0,,,
March 2020,24203000.0,11463000.0,,,
June 2020,13680000.0,32555000.0,1886700000.0,310132000.0,
September 2020,14710000.0,37849000.0,1906494000.0,335581000.0,
December 2020,20499000.0,50859000.0,,,
March 2021,18861000.0,35934000.0,,,
June 2021,21796000.0,40028000.0,1787473000.0,189207000.0,
September 2021,21578000.0,38934000.0,1750137000.0,168958000.0,
December 2021,25339000.0,39270000.0,,,
March 2022,28479000.0,7796000.0,,,
June 2022,40086000.0,22857000.0,,,
