,OperatingExpenses,NetIncomeLoss,Assets
December 2014,712.0,-712.0,
March 2015,0.0,0.0,
June 2015,0.0,0.0,
September 2015,2100.0,-2100.0,
December 2015,9231.0,-9231.0,
March 2016,7187.0,-7187.0,
June 2016,5827.0,-5827.0,
September 2016,3230.0,-3230.0,
December 2016,6469.0,-6469.0,
March 2017,13829.0,-13829.0,
June 2017,4547.0,-4547.0,
September 2017,4352.0,-4352.0,4000.0
December 2017,3330.0,-3330.0,2500.0
March 2018,9750.0,-9750.0,1650.0
June 2018,8430.0,-8430.0,
September 2018,3850.0,-3850.0,1900.0
December 2018,3850.0,-3850.0,
